@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute binary_judgement {good, bad}
@data
45,1353.33,-9295.56,10648.9,0,bad
67,-7847.76,-2198.51,-5708.96,59.7015,good
68,1900,1900,0,0,good
244,12391.4,13894.3,16.3934,-1519.26,good
36,2747.22,2636.11,111.111,0,bad
49,-26338.8,-26338.8,0,0,bad
34,0,0,0,0,bad
37,-15362.2,-15362.2,0,0,bad
31,37783.9,22325.8,15458.1,0,good
60,-390,5851.67,-6375,133.333,good
59,620.339,6366.1,-5745.76,0,bad
35,14665.7,14665.7,0,0,bad
93,-3533.33,-2940.86,124.731,-717.204,good
32,-1931.25,-1931.25,0,0,bad
297,6930.64,7645.79,-2.6936,-712.458,good
30,15973.3,0,15973.3,0,bad
44,-18.1818,0,0,-109.091,bad
20,-240,-240,0,0,bad
29,64024.1,63610.3,413.793,0,good
35,3340,3340,0,0,good
38,16052.6,15947.4,0,105.263,bad
70,6180,6897.14,-774.286,57.1429,good
30,26103.3,27586.7,-1483.33,0,good
25,0,0,0,0,good
124,-3050,64.5161,0,947.581,bad
135,-9236.3,-11900.7,29.6296,2634.81,bad
42,14940.5,14845.2,95.2381,0,bad
43,17565.1,17565.1,0,0,good
31,-22216.1,3919.35,-26135.5,0,good
60,-14111.7,0,-17695,3583.33,bad
96,-20359.4,-20309.4,0,-50,bad
22,0,0,0,0,bad
117,-4608.55,-2260.68,0,1743.59,bad
108,4477.78,1268.52,0,3209.26,good
30,403.333,403.333,0,0,good
68,4211.76,4211.76,0,0,bad
28,46942.9,46942.9,0,0,good
137,6721.17,3800,6719.71,-3798.54,bad
18,0,0,0,0,bad
26,32661.5,32661.5,0,0,good
116,5544.83,5475.86,34.4828,34.4828,bad
60,25083.3,25083.3,0,0,good
403,10033.7,9696.77,-3.97022,340.943,bad
40,15585,-8375,23960,0,bad
176,-10731.2,-551.705,-2019.89,0,bad
23,10513,10513,0,0,good
39,-16089.7,9941.03,0,-13756.4,bad
95,3667.37,3583.16,84.2105,0,bad
55,-8645.45,0,-87.2727,145.455,bad
43,18625.6,18532.6,93.0233,0,bad
22,47995.5,47995.5,0,0,good
21,17781,17781,0,0,bad
104,-4568.27,0,-4560.58,-7.69231,bad
89,-2862.92,-2932.58,0,69.6629,bad
72,-8340.28,-3715.28,0,-4625,good
37,324.324,216.216,0,108.108,bad
270,537.407,1788.52,0,-1251.11,good
185,4675.68,6592.97,-1917.3,0,good
50,9908,324,9584,0,bad
98,1544.9,-3038.78,2502.04,2081.63,bad
27,28318.5,28318.5,0,0,good
25,-21720,-21720,0,0,bad
24,14050,14050,0,0,good
35,20028.6,20028.6,0,0,good
26,3580.77,3580.77,0,0,good
124,214.516,-1325.81,0,0,bad
79,6859.49,-4362.03,0,4397.47,bad
56,-6292.86,-6435.71,71.4286,71.4286,bad
35,23857.1,23742.9,114.286,0,good
22,-218.182,-218.182,0,0,good
274,361.679,-403.65,2497.81,14.5985,bad
29,0,0,0,0,bad
36,-13297.2,0,0,0,bad
30,-19903.3,-9473.33,0,-10430,bad
115,-11903.5,-11903.5,0,0,bad
56,6198.21,14832.1,0,0,bad
159,3067.92,735.22,0,2332.7,bad
65,-9523.08,-9584.62,0,61.5385,bad
59,-3898.31,-3898.31,0,0,good
36,24727.8,24727.8,0,0,good
62,17275.8,17275.8,0,0,good
69,-9447.83,2802.9,-7449.28,-4801.45,bad
37,0,0,0,0,bad
18,28366.7,28144.4,0,222.222,bad
23,-11660.9,-11452.2,0,-208.696,good
505,-10681.6,-4071.68,-4111.29,-2498.61,bad
22,46359.1,46359.1,0,0,good
82,3195.12,7447.56,-58.5366,-4193.9,good
57,70.1754,0,70.1754,0,good
36,2516.67,3583.33,0,-1066.67,bad
120,25996.7,23912.5,100,1984.17,good
59,8394.92,205.085,8122.03,67.7966,good
22,2850,17072.7,0,-14222.7,bad
56,-6641.07,-610.714,-6030.36,0,bad
39,-6792.31,5276.92,205.128,0,bad
18,-12272.2,0,0,14322.2,bad
46,2076.09,2076.09,0,0,bad
21,3938.1,3747.62,190.476,0,bad
30,-7803.33,-16396.7,0,8593.33,bad
37,10151.4,10043.2,0,108.108,good
121,-1858.68,766.942,-39.6694,-2585.95,bad
28,26685.7,26685.7,0,0,good
65,12216.9,17446.2,0,-5229.23,good
25,82972,69520,13452,0,good
42,30826.2,30826.2,0,0,good
29,137.931,137.931,0,0,bad
38,-450,9721.05,-10171.1,0,bad
38,-12407.9,-12407.9,0,0,bad
26,41357.7,41203.8,153.846,0,good
55,10927.3,13152.7,1292.73,-3518.18,bad
29,20958.6,20820.7,0,137.931,good
35,20137.1,20137.1,0,0,good
22,-218.182,-218.182,0,0,bad
51,17366.7,17288.2,78.4314,0,good
51,-6396.08,2990.2,0,0,bad
21,-1642.86,-1642.86,0,0,bad
35,0,0,0,0,bad
21,-12381,10414.3,0,0,good
24,337.5,337.5,0,0,good
88,1737.5,4222.73,-2485.23,0,good
29,137.931,137.931,0,0,bad
55,3598.18,12360,0,-8761.82,bad
27,7703.7,0,0,7703.7,bad
137,-826.277,1654.74,0,-2481.02,good
77,16454.5,13548.1,51.9481,2854.55,bad
49,2993.88,12598,0,0,bad
24,-11675,-11841.7,0,0,bad
25,43128,43128,0,0,good
24,23016.7,23016.7,0,0,good
54,1466.67,8624.07,-7157.41,0,bad
26,6926.92,3180.77,0,3746.15,bad
75,-15969.3,1558.67,0,1620,bad
23,12930.4,13139.1,0,-208.696,bad
20,-16565,0,0,-16565,bad
51,-1005.88,2198.04,0,-3203.92,bad
40,9737.5,9637.5,0,100,good
65,-18016.9,-11996.9,-5946.15,-73.8462,bad
35,1608.57,-7888.57,0,9634.29,bad
74,201.351,6616.22,0,54.0541,bad
87,-9164.37,-8820.69,-4405.75,4117.24,good
32,19400,11612.5,7662.5,125,bad
36,-7205.56,-7316.67,0,111.111,good
190,2630,2545.79,63.1579,21.0526,bad
81,4469.14,4480.25,0,-11.1111,good
80,17011.2,21123.7,0,-4112.5,good
24,-18891.7,-11675,-7216.67,0,bad
46,2354.35,2354.35,0,0,bad
65,-24090.8,-11793.8,-12464.6,167.692,bad
74,6256.76,6256.76,0,0,good
137,-12093.4,-3554.01,-6086.13,-2453.28,bad
44,2670.45,-934.091,0,3604.55,bad
52,-6250,76.9231,76.9231,-6403.85,bad
68,117.647,117.647,0,0,good
37,327.027,218.919,108.108,0,good
23,-20182.6,-19973.9,0,0,bad
485,1103.71,1281.44,-1510.72,1342.89,good
42,-7785.71,95.2381,0,-7880.95,bad
44,-10793.2,-10884.1,0,90.9091,good
24,36508.3,16375,19966.7,166.667,good
98,6952.04,6911.22,0,40.8163,good
53,-4358.49,-4433.96,0,75.4717,good
30,15390,15390,0,0,good
89,-16868.5,-9194.38,-7719.1,44.9438,bad
202,-1247.52,-2374.75,896.535,4950.5,bad
64,-5460.94,-5385.94,-75,0,bad
46,14730.4,14730.4,0,0,bad
102,-7719.61,1867.65,-4933.33,39.2157,bad
141,-1004.26,3683.69,0,-4687.94,bad
25,-2972,100,0,-3072,bad
132,2871.21,5358.33,118.182,-2605.3,bad
44,-5900,-10240.9,0,4340.91,bad
213,-9517.84,-245.07,-7698.59,-1574.18,bad
54,20472.2,20472.2,0,0,good
26,21088.5,13007.7,0,8080.77,good
30,27626.7,27786.7,0,0,good
26,25015.4,25015.4,0,0,good
64,8276.56,16556.2,-8279.69,0,bad
56,-6887.5,144.643,71.4286,-7103.57,bad
25,-192,-192,0,0,good
96,2988.54,10595.8,-7557.29,-50,bad
26,153.846,153.846,0,0,bad
37,29929.7,30059.5,-129.73,0,good
39,5133.33,5133.33,0,0,bad
23,36969.6,36969.6,0,0,good
81,1134.57,1134.57,0,0,bad
33,-4839.39,3009.09,-16084.8,0,good
26,-5665.38,-5819.23,0,153.846,bad
79,9792.41,14007.6,0,-4215.19,bad
85,11474.1,4456.47,0,7017.65,bad
43,8120.93,7934.88,186.047,0,good
31,11987.1,11987.1,0,0,bad
42,-21492.9,-21778.6,95.2381,190.476,bad
409,-8439.61,-1537.65,-3671.64,-3230.32,bad
101,867.327,914.851,0,-47.5248,good
39,10384.6,10179.5,0,102.564,good
40,8132.5,8132.5,0,0,bad
34,117.647,117.647,0,0,bad
58,-6091.38,6546.55,-12637.9,0,bad
73,-65.7534,0,0,-65.7534,bad
209,3762.68,613.397,3149.28,0,good
126,836.508,63.4921,0,773.016,bad
40,-21655,200,-8442.5,-13412.5,bad
52,0,0,0,0,good
46,13728.3,13728.3,0,0,good
32,0,0,0,0,bad
33,-9845.45,-8227.27,-1618.18,0,bad
40,-6822.5,5045,0,100,bad
89,3508.99,9348.31,0,-5839.33,good
26,43342.3,43188.5,0,153.846,good
28,-16810.7,142.857,142.857,0,bad
177,5289.83,5267.23,0,22.5989,bad
30,-10653.3,-10786.7,0,133.333,bad
450,2000.22,2581.11,0,-1958.44,bad
80,925,875,0,50,good
31,15719.4,261.29,15458.1,0,good
85,-4928.24,-4928.24,0,0,bad
22,17863.6,17863.6,0,0,good
51,-3919.61,-3998.04,78.4314,0,bad
33,-18651.5,-9169.7,0,-9481.82,bad
29,23413.8,16241.4,0,7172.41,good
75,-10338.7,-10274.7,-64,0,bad
25,3872,3872,0,0,good
209,-785.646,1184.69,-1811,-159.33,good
41,-22387.8,-22485.4,97.561,0,bad
42,8926.19,8926.19,0,0,good
116,-1223.28,3073.28,-6432.76,2136.21,good
32,871.875,15831.3,0,0,bad
42,1676.19,2404.76,0,-728.571,bad
19,-48152.6,-48363.2,0,210.526,bad
32,17318.8,6781.25,0,10537.5,good
28,-23885.7,142.857,-12064.3,-11964.3,bad
58,-5651.72,277.586,0,-5929.31,good
338,-755.917,738.462,11.8343,-1492.01,bad
77,5516.88,2736.36,0,2780.52,good
23,-33504.3,-33504.3,0,0,bad
24,-24350,-10379.2,0,-13970.8,bad
23,-38160.9,-17347.8,0,0,bad
34,-27273.5,-13194.1,0,0,bad
57,-2584.21,-2584.21,0,0,bad
34,24767.6,24650,0,117.647,good
83,-9360.24,-10381.9,48.1928,0,bad
22,32581.8,32036.4,181.818,363.636,good
25,-34072,-1684,0,-13240,bad
45,33006.7,32917.8,0,88.8889,good
89,-1456.18,2240.45,0,-3696.63,bad
53,5866.04,5866.04,0,0,good
23,-18917.4,1895.65,0,0,bad
25,26928,9632,0,17296,good
48,-5920.83,-5920.83,0,0,bad
21,-228.571,-228.571,0,0,bad
37,12867.6,12759.5,0,108.108,bad
23,10182.6,10182.6,0,0,good
38,-10728.9,9223.68,0,5242.11,good
19,6036.84,5405.26,421.053,210.526,good
183,3923.5,4498.36,-1863.39,1288.52,bad
