@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
243,-1.1206,-0.6801,-0.6826,0.004,1
64,-1.3512,-0.0048,-1.3464,0,1
38,-0.6974,-0.30439999999999995,0,-0.393,2
29,0.9468,0.9468,0,0,4
83,-1.3157999999999999,-0.0010000000000000286,-0.5027,0,1
114,1.016,0.6548999999999999,0.2637,0.0974,5
27,0.317,0.309,0,0.008,5
27,-0.7838,-0.4508,0,-0.333,2
28,-0.7578,-0.7618,0.004,0,1
34,0.010699999999999987,-0.2716,0.2823,0,2
24,0.5099,0.5099,0,0,4
84,-1.9021000000000001,-1.0293,-0.2088,-0.664,2
27,-0.2715,-0.2715,0,0,3
54,-0.4377,0.0946,-0.5363,0.004,2
30,0.1096,0.1016,0.004,0.004,5
29,-0.32939999999999997,0.004,0,0,1
39,0.0121,0.0121,0,0,4
27,0,0,0,0,3
36,-0.1375,0.004,0,0.3372,3
21,0.004,0.004,0,0,1
52,0.004,0.004,0,0,1
22,0.2248,0.2248,0,0,3
18,-0.7706,-0.7706,0,0,3
27,0.4702,0.4662,0,0,3
183,-0.3387000000000001,0.038599999999999995,0.004,0.0974,5
88,1.0788,1.0628,0.012,0.004,5
26,0,0,0,0,4
114,0.9419,0.6193,0,0.3226,3
39,0.3796,0.3716,0.008,0,3
54,-0.6113999999999999,0.4616,0,-1.073,2
146,-0.6093,0.1045,-0.7138,0,1
24,-0.20220000000000002,0.1843,-0.3865,0,5
27,-0.5287999999999999,-0.5287999999999999,0,0,3
26,-0.0131,0.3694,-0.3865,0.004,4
51,0.515,0.9897,0,0.004,2
36,-0.14880000000000004,0.23369999999999996,-0.3825,0,4
27,0.3836,0.3796,0.004,0,4
21,0.44969999999999993,0.44969999999999993,0,0,5
151,1.0016,0.7458,0.008,0.2478,5
77,-0.7016,-0.2842,-0.6752,0.2578,2
31,-0.2595,-0.2635,0,0.004,2
54,0.008,0.004,0,0.004,1
20,0.5052,0.5012,0,0.004,5
79,0.855,0.6251,0.004,0.2259,5
51,0.2257,0.2217,0,0.004,4
62,0.738,0.7388,0,-0.0048,3
30,1.1482999999999999,1.1482999999999999,0,0,4
55,0.12010000000000001,0.12010000000000001,0,0,4
21,0,0,0,0,2
159,-1.1852,0.002400000000000001,-1.1916,0.004,1
36,0.9349,0.9349,0,0,5
24,-0.0048,0,0,-0.0048,1
24,-0.3785,0.004,-0.3865,0.004,1
29,0.004,0,0.004,0,4
33,-0.10710000000000003,0.3716,0,0,1
41,-0.3468,-0.3468,0,0,1
177,0.5891000000000001,0.004,0.3446,0.23650000000000002,2
47,0.4361,0.4361,0,0,1
23,0.8639,0.8599,0,0.004,4
25,-0.0534,0,-0.0534,0,1
208,-0.03880000000000006,-0.38780000000000003,0.2452,0.1038,2
21,-0.3352,-0.3352,0,0,3
193,-1.7084000000000001,-1.7164000000000001,0.004,0,2
46,-0.3919,0.1169,0,-0.5088,2
422,-2.2138,-1.3193000000000001,-0.5563000000000001,-0.0048,4
127,0.7908,1.5311,-0.7483,0.008,5
27,0.0859,0.0859,0,0,1
35,0.004,0,0.004,0,3
26,0.2238,0,0,0.2238,5
20,0.008,0.004,0,0.004,4
22,0.3796,0.3756,0,0.004,5
59,0.0032000000000000006,0.0032000000000000006,0,0,3
92,1.1507,0.4965,0.6502,0.004,3
26,0,0,0,0,1
490,1.7739000000000003,1.9699,-1.104,-0.0007999999999999995,3
24,2.1104,2.1064,0,0.004,5
32,-0.6496999999999999,-0.6496999999999999,0,0,3
23,-0.0048,0,0,-0.0048,2
107,-0.3093,-0.06630000000000003,0.1031,-0.3461,4
166,-0.5198,-0.515,0,-0.0048,3
25,0.004,0,0,0.004,2
50,0.3388,0.3388,0,0,5
57,0.9981,0.7512,0.2429,0,5
27,0.37079999999999996,0.36679999999999996,0.004,0,5
76,0.3836,0.3756,0,0.008,2
64,0.004,0,0,0.004,1
448,-0.8013999999999999,0.2522,-0.4698,-0.1051,3
30,-0.1529,0.2344,-0.3825,-0.0048,5
58,0.004,0.004,0,0,3
20,0.172,0.16799999999999998,0,0.004,2
25,0.004,0,0,0.004,4
22,0,0,0,0,1
50,-0.17200000000000001,-0.17200000000000001,0,0,2
52,0.008,0.004,0,0.004,4
20,-0.0403,0.004,-0.0483,0.004,4
84,1.8543999999999998,1.5037,0.004,0.3467,4
57,0.6093999999999999,0.6093999999999999,0,0,4
21,0.0949,0.0949,0,0,5
27,-1.4290000000000003,-0.7490000000000001,-0.6752,-0.0048,2
37,0.3756,0.3716,0,0.004,3
570,-1.6859000000000002,0.11939999999999984,-1.2066,-0.2653,2
21,0.004,0.004,0,0,2
115,-0.8480000000000001,0.012,0,0.0974,2
24,-0.0398,-0.2716,0,0.2318,4
54,-0.28980000000000006,-0.28900000000000003,0,-0.0007999999999999995,1
282,0.33559999999999995,0.21939999999999998,-0.0096,0.1258,2
30,0.008,0.004,0.004,0,5
34,-0.6826000000000001,-0.1965,-0.1732,-0.3129,1
23,0.8161,0.4774,0,0.3387,5
45,-0.020299999999999985,0.16100000000000006,-0.1813,0,3
30,0.20400000000000001,0.1026,0,0.1014,3
34,0.3694,0.3694,0,0,4
85,-0.2759,-0.0392,0.0927,0.004,1
47,0.2132,0.2092,0,0.004,3
55,0.0849,0.0849,0,0,1
118,0.5378,0.31799999999999995,0,0.2198,5
32,0.5012,0.5012,0,0,5
76,-1.0354,0.315,0,-0.393,3
62,0.3263,0.31429999999999997,0,0.008,4
47,0.007200000000000001,0.012,0,-0.0048,4
24,-1.0548,-1.0548,0,0,2
41,-1.224,-1.224,0,0,2
27,0.7686,0.7646,0.004,0,4
129,0.5546000000000001,0.5803,0.004,-0.0297,2
27,0.0941,0.0901,0,0.004,4
23,0.8894,0.8894,0,0,5
22,0.08220000000000001,0.08220000000000001,0,0,1
26,0.4576,0.4576,0,0,3
23,0.1957,0.2005,-0.0048,0,5
41,0,0,0,0,1
21,0.008,0.008,0,0,2
30,0.3922,0.393,0.004,0,1
56,-0.27990000000000004,0,0,0.1988,3
936,-1.1074999999999995,-1.0827999999999998,-2.0075000000000003,1.5585,2
41,0.5391,0,0,0,4
21,0.0974,0.0974,0,0,3
43,0.004,0,0.004,0,5
26,0.4056,0.4056,0,0,4
30,0.1056,0.1016,0,0.004,3
104,0.10409999999999997,0.10009999999999997,0.004,0,5
131,0.532,0.52,0.008,0.004,1
33,0.261,0.261,0,0,1
31,-0.6454,0.004,-0.6494,0,1
31,0,0,0,0,2
25,0.3249,0.2338,0.0911,0,5
25,0.3756,0.3756,0,0,4
43,0.3836,0.3716,0.012,0,4
105,0.13290000000000002,0.12490000000000001,0,0.008,2
35,0.3456,0.3416,0.004,0,4
25,-0.10710000000000003,0.3716,0,0,3
44,0.23999999999999994,0.7186999999999999,0,0,4
104,0.008999999999999952,0.3756,-0.36660000000000004,0,4
22,0.6792,0.6792,0,0,5
29,0.004,0.004,0,0,5
135,-0.05800000000000004,-0.06600000000000004,0,0.008,3
47,-0.39130000000000004,-0.0048,-0.3865,0,3
29,0.48539999999999994,0.6901999999999999,-0.2048,0,3
33,0.4925,0.4885,0.004,0,5
120,0.48340000000000005,0.4842,-0.0048,0.004,1
46,1.7407999999999997,1.1641999999999997,0.4792,0.0974,5
108,0.6003000000000001,0.5923,0.004,0.004,3
47,-1.2381,-1.2421,0,0.004,1
43,-0.27630000000000005,-0.2715,0,-0.0048,1
70,0.034699999999999995,-0.0482,0.0829,0,3
21,-0.0007999999999999995,0.004,0,-0.0048,1
91,0.3852,-0.0504,0.2038,0.2318,2
18,0.45239999999999997,0.3716,0,0,4
29,-0.7578,-0.7578,0,0,2
24,0.5373,0.5373,0,0,5
48,-0.001599999999999999,0.0032000000000000006,0,-0.0048,2
25,0.23779999999999996,0.23779999999999996,0,0,3
42,-0.0973,-0.0048,-0.0925,0,1
34,0.4364,0.004,0,0.4324,3
20,0.191,0,0,0.191,2
107,-0.4418000000000001,-0.4418000000000001,0,0,4
135,0.8417999999999999,0.3152,0.5266000000000001,0,4
36,0.397,0.397,0,0,5
123,-0.9703,-0.1633,-0.8062,-0.0007999999999999995,4
101,2.3986,2.5275,-0.343,0.2141,4
24,-0.0245,-0.0245,0,0,3
34,-0.0413,-0.04530000000000001,0,0.004,5
49,0.516,0.512,0.004,0,4
35,0.004,0.004,0,0,5
21,0,0,0,0,5
137,-1.7296000000000002,-1.2055,-0.045399999999999996,0,2
23,0.7432,0.7432,0,0,5
108,0.25579999999999997,0,0.008,0.2478,5
119,0.2172,0.8972,-0.3671,-0.3129,2
22,-0.1723,0,-0.1723,0,1
97,-0.16149999999999998,0.19229999999999997,-0.3618,0.008,4
36,-0.4651,-0.4691,0.004,0,2
116,-1.3746,-0.6994,-0.6752,0,2
106,0.8027,1.1337,0,-0.331,2
27,-0.7048,-0.3583,-0.3465,0,1
83,0.3922,0.016,0.008,0.36819999999999997,3
24,0.4885,0.4885,0,0,4
27,0.09670000000000001,0.004,0,0.0927,3
49,0.3716,0.3716,0,0,3
40,0.6240999999999999,0.14809999999999998,0.476,0,1
35,0.747,0.747,0,0,1
21,0.393,0.393,0,0,2
112,0.7928,0.7916000000000001,0.2078,-0.20179999999999998,1
39,0.8580000000000001,0.393,0,0.465,5
38,0.0711,0,0.0711,0,1
90,-2.3948,-0.6234,0,-0.3353,2
26,-0.0245,-0.0245,0,0,2
135,0.4752999999999999,0.4712999999999999,0,0.004,3
37,0.0941,0.0949,-0.0048,0.004,4
25,-0.3395,-0.3395,0,0,1
99,0.31709999999999994,0.3267,-0.0096,0,2
29,-0.2429,0.004,0,0.2318,4
22,0.3612,0,0,0.3612,1
23,0.3716,0.3716,0,0,5
