@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
148,-2.15,-1.3550000000000002,0,-0.3203,1
47,0.10579999999999999,0.1018,0,0,4
31,0,0,0,0,2
22,0.3716,0.3716,0,0,4
136,0.7821999999999999,0.7701999999999999,0,0.012,2
258,-0.25910000000000005,0.21560000000000007,0.004,0,3
31,-0.37420000000000003,-0.37420000000000003,0,0,1
45,0.29159999999999997,0.3226,0,-0.031,4
35,-0.4199,-0.4199,0,0,4
23,-0.025,-0.025,0,0,2
105,0.3326,0.3756,-0.13570000000000004,0.0927,4
48,0.9430000000000001,0.5066,0.004,0.4324,5
97,0.6352,0.628,0.012,0,3
79,-0.013599999999999945,-0.021599999999999953,0.004,0,3
259,-0.6433000000000001,-0.03629999999999997,-0.5518000000000001,0.3427,3
30,-0.5547,-0.5547,0,0,2
30,-0.9148999999999999,-0.9188999999999999,0,0.004,1
27,0.008,0.008,0,0,1
49,-0.11470000000000002,-0.15680000000000002,0.038099999999999995,0.004,5
42,0.3582,0.3502,0,0.008,1
28,0.35530000000000006,0.35530000000000006,0,0,1
128,-0.40659999999999996,-0.6184,0.2038,0.008,2
36,-0.3428,-0.346,0,0.008,1
35,0.6235,0.6235,0,0,4
28,0.1008,0.0968,0.004,0,4
69,0.3984,0,0,0.4032,2
53,0.3196,0.2274,0,0.0922,5
85,0.004,0,0.004,0,4
35,0.3288,0.3716,-0.042800000000000005,0,5
148,0.6354,0.6234,0,0.012,2
62,0.7295,0.7295,0,0,5
23,0.8942,0.8942,0,0,4
37,0.3183,0.3183,0,0,1
50,-0.2802,-0.2842,0,0,5
238,-1.1172000000000002,0.02630000000000006,-1.1555,0.012,3
37,0.393,0.393,0,0,5
68,-0.8482999999999999,-0.37359999999999993,0,0,3
49,-0.6595000000000001,0.397,0,-0.5778,3
449,2.3206999999999995,2.4589,0.3461,-0.0048,5
164,0.24749999999999994,0.29980000000000007,-0.0494,-0.0029000000000000137,2
24,0.2381,0.2381,0,0,2
23,0.004,0.004,0,0,2
103,1.2826,0.7363000000000001,0,0,5
54,-1.2570000000000001,-0.15460000000000002,-0.769,0,3
26,0,0,0,0,3
102,0.3506,0.3394,0.012,-0.0007999999999999995,3
31,0.09929999999999994,0.10009999999999997,-0.0007999999999999995,0,4
24,-0.1929,0,0,-0.1929,5
245,-1.0472,-0.5358,0.33649999999999997,-0.5145,1
91,-0.4655,-0.4607000000000001,-0.0048,0,1
22,0.11459999999999998,-0.1432,0,0.2578,1
20,0.3756,0.3756,0,0,5
22,-0.2675,-0.2715,0,0.004,4
51,-0.9974000000000001,-0.3234,-0.1953,0,1
77,0.9115,0.8118,0,0.0997,4
71,0,0,0,0,4
263,0.035300000000000026,0.00410000000000002,0.0232,0.004,3
130,-0.018699999999999994,0.0889,0.004,-0.11159999999999999,1
40,1.4010999999999998,1.4059,0,0,5
346,0.9282,0.9178,0.016,0.004,2
114,0.2636,0.2421,0.008,0.0135,1
46,-1.1683000000000001,-0.6354,-0.0542,0,1
49,0,0,0,0,3
22,0.3716,0.3716,0,0,5
30,0.46649999999999997,0.46249999999999997,0,0.004,3
98,0.4974999999999997,0.4943000000000001,-0.0048,0.008,1
33,-0.7626,-0.7706,0,0.008,3
54,0.9937,0.9897,0,0.004,5
40,-0.6348,-0.1561,0,0,5
34,0.05459999999999998,0.05459999999999998,0,0,2
35,0.0338,0.3668,0,-0.333,4
45,-0.2036,-0.2036,0,0,5
34,0.5106,0.5066,0.004,0,4
97,-0.1733,0.0081,0,-0.1814,2
59,-0.4974,0.30770000000000003,0,-0.32639999999999997,2
44,0.5569,0.5529,0.004,0,3
52,3.1477999999999997,2.9164,0,0.2314,5
48,-0.2477,0.1026,0,-0.3503,5
162,-0.02900000000000003,-0.1882,0.2823,-0.12309999999999999,2
54,-0.0007999999999999995,0,-0.0048,0.004,1
123,0.6133,0.9562999999999999,-0.0007999999999999995,-0.3422,2
37,0.7913,0.7833,0.004,0.004,4
118,0.7559999999999999,0.7568,-0.0048,0.004,4
38,-0.4000000000000001,0.7432,-0.8102,-0.333,3
20,-1.0548,-1.0548,0,0,3
22,0.004,0,0,0.004,5
32,0.0121,0.0081,0,0.004,3
103,-0.5452000000000001,-0.07050000000000006,0,0.004,4
23,0.1916,0.5781000000000001,-0.3865,0,4
209,-0.5939000000000001,0.06470000000000001,-0.34249999999999997,0.16259999999999997,2
85,0.9738,0.9578,0.008,0.008,1
44,0.012,0.012,0,0,2
38,0,0,0,0,2
100,1.1228,1.1148,0,0.008,3
56,0.9652000000000001,0.9572,0,0.008,5
117,0.5184,0.5144,0.004,0,1
161,-0.5542,0.12300000000000001,0.281,-0.0007999999999999995,2
24,0.008,0.004,0,0.004,1
24,0.5471,0.004,0,0.004,3
20,0.5066,0.5066,0,0,4
57,0.056499999999999995,0.056499999999999995,0,0,1
43,-0.0096,-0.0048,-0.0048,0,2
20,1.0893,1.0893,0,0,5
39,1.0701999999999998,1.0661999999999998,0,0.004,4
91,0.01120000000000004,-0.21639999999999987,-0.2088,0.4364,5
47,0.6312,0.3834,0,0.2478,4
26,0.8419,0.8339,0.004,0.004,5
48,-0.11060000000000003,-0.76,0.6542,-0.0048,2
38,-0.41800000000000004,0.3917,0,-0.331,2
39,0.37479999999999997,0.3796,0,-0.0048,3
24,0.21050000000000002,0.21050000000000002,0,0,3
74,-1.1386,-0.6639,0,0.004,4
76,0.0937,0.0937,0,0,3
132,-0.5616,-0.5616,0,0,2
35,-0.2635,-0.2675,0,0,1
102,1.4882,0.3876,0,1.1006,3
62,-0.09280000000000002,0,-0.05550000000000002,-0.0373,1
25,0.7384000000000001,0.5066,0,0.2318,1
26,0.7384,0.7432,-0.0048,0,4
28,-0.5716,0.2381,0,-0.331,1
74,0.6284,0.6244,0,0.004,4
74,0.47,0.002400000000000001,0.004,0.4636,4
69,0.051999999999999935,0.37209999999999993,-0.3201,0,4
60,0.7143999999999999,0.7143999999999999,0,0,3
122,2.3586,1.4641000000000002,0,0.3554,5
61,0.3731000000000001,0.3731000000000001,0,0,3
99,-0.7341,-0.2691,-0.6752,0.215,3
60,0.23839999999999995,0.7544,0,-0.0373,2
47,1.6754000000000002,1.0212,0.6542,0,5
66,0.7658,0.7578,0,0.008,5
31,0.007200000000000001,0.008,-0.0048,0.004,5
193,-0.27649999999999997,-0.37870000000000004,-0.3454,0.4476,1
102,0.9023999999999999,0.5851999999999999,0,0.3172,2
54,-0.16960000000000003,-0.17360000000000003,0,0.004,2
605,3.6445,3.5292999999999997,0.0519,0.06410000000000002,5
41,-0.27240000000000003,0.1941,-0.4665,0,2
136,-0.3763000000000001,0.7717,-0.8102,-0.33780000000000004,4
40,-0.6374000000000001,-0.6414000000000001,0.004,0,2
29,-0.46099999999999997,0,-0.469,0.008,1
162,1.2595,0.8484,-0.005599999999999999,0.4167,3
27,0,0,0,0,5
56,-0.2152,0.1673,-0.3865,0.004,1
57,0.008,0.004,0,0.004,3
25,0.3756,0.3756,0,0,4
35,-0.677,-0.346,0,-0.331,1
26,1.4129999999999998,1.2029,0,0.2101,5
57,0.9643999999999999,0.9643999999999999,0,0,4
35,0.0073,0.0073,0,0,3
22,-0.0048,-0.0048,0,0,1
190,-0.6793999999999998,-0.14610000000000006,-0.0007999999999999995,-0.5325,2
37,1.2651,0.9788,0.2823,0.004,5
280,-0.6470000000000001,-0.48060000000000014,-0.3793,-0.3262,3
57,0.2845,0.14650000000000002,-0.09780000000000003,0.2358,2
381,1.0546000000000004,1.1171000000000002,0.2549,0.012,4
50,0.3394,0.3394,0,0,1
34,1.5695000000000001,1.5695000000000001,0,0,4
123,0.7495999999999999,0.7384,0.007200000000000001,0.004,2
143,-0.49620000000000003,-0.0127,-0.0048,0,1
348,0.7178,0.7179000000000001,-0.2312,0.23109999999999997,1
171,1.1221999999999999,1.5024,0.09530000000000001,0.008,2
301,-3.0266,-1.3351000000000002,-0.8935000000000001,-0.3193,2
57,0.4293,0.4213,0,0.008,5
67,-0.02329999999999999,0.6221,-0.6494,0.004,5
30,0.0032000000000000006,0.004,0.004,0,1
110,-0.5373000000000001,-0.3998,0,0.3412,3
24,-0.39899999999999997,-0.39899999999999997,0,0,4
159,0.8716,0.8676,0,0.004,5
102,-0.4461,-0.4501,0.004,0,4
39,0.018600000000000005,0.006599999999999995,0.004,0.008,1
54,-0.19450000000000003,0.21699999999999997,-0.3865,-0.025,3
61,-0.2722,-0.2762,0,0.004,2
24,0.37479999999999997,0.37079999999999996,0,0.004,5
153,0,0,0,0,1
33,0.9704,0.9752000000000001,0,-0.0048,3
131,-1.3934000000000002,-0.39160000000000006,-0.6752,-0.3266,5
27,0.6172,0.9481999999999999,0,-0.331,1
86,1.1649,1.133,0.004,0.5066,3
32,0.4155,0.8942,0,0,2
31,-0.3369,-0.3409,0,0.004,2
136,1.0210000000000001,1.0170000000000001,0.004,0,5
278,1.2471999999999999,0.9580999999999997,-0.3825,0.616,4
53,-0.9166,-0.9206,0.004,0,1
26,0.3216,0.0898,0,0.2318,3
26,0.4744,-0.0048,0.4792,0,4
81,0.5808,0.5808,0,0,4
112,1.5119999999999998,1.2076,-0.0406,0.345,3
64,-0.9014,0.08620000000000001,-0.0048,-0.5041,2
28,0.3759,0.7624,-0.3865,0,3
176,1.1368999999999998,1.2752999999999997,0.3323,0.008,4
26,-0.0245,-0.0245,0,0,1
22,0.7512,0.7472,0.004,0,5
21,0,0,0,0,2
49,0.03409999999999999,0.36679999999999996,0,-0.3327,5
36,0.03359999999999996,0.03839999999999999,0,0,4
34,0.1169,0.1169,0,0,5
29,0.3196,0.6506000000000001,0,-0.331,2
335,-1.0826000000000002,-0.6231000000000001,0.02,-0.0007999999999999995,3
30,0.1169,0.1169,0,0,1
23,0.09439999999999994,0.47169999999999995,0.004,0.0974,3
50,0.9763,0.9602999999999999,0.004,0.012,4
130,0.42839999999999995,0.47780000000000006,-0.0494,0,2
105,-0.5598,0.12419999999999998,-0.6895,0.005500000000000001,1
68,0.2537,0.5871,0,0,2
20,0,0,0,0,5
22,0.4727,0.4727,0,0,5
22,0.03859999999999997,0.3716,0,-0.333,4
31,0.18599999999999994,0.17799999999999994,0.004,0.004,4
39,0.6585000000000001,0.6505000000000001,0.004,0.004,2
74,-0.4278,0.3412,-0.773,0.004,2
25,-0.9428,-0.605,-0.3378,0,1
35,-0.048399999999999985,-0.05239999999999999,0,0.004,1
53,0.1992,-0.0048,0,0.204,1
123,1.0203000000000002,0.959,0.004,0.0573,4
62,0.0193,0.0073,0.008,0.004,5
97,-0.6197,0.3836,-0.8649,0.004,5
55,0.5052,0.5052,0,0,1
30,-0.39499999999999996,-0.39899999999999997,0.004,0,3
138,-0.4235,-0.4575,-0.1413,-0.0157,3
94,0.35399999999999987,1.3691999999999998,0,-0.5365,3
53,-0.5509,-0.9126,0,0,1
32,0.6806,0.6806,0,0,4
190,0.2212,0.2092,0,0.012,1
24,-0.4691,-0.4691,0,0,2
36,0.9372,0.934,0.008,-0.0048,5
26,0.5854,0.5814,0,0.004,5
26,-0.329,0.004,0,-0.333,3
45,-0.7578,-0.7578,0,0,2
59,0.8148,0.8148,0,0,1
27,0.004,0.004,0,0,2
132,-0.042199999999999974,-0.14989999999999998,0.004,0.0997,1
788,3.6979,5.0068,-0.2088,-0.6214,4
26,0.2233,0.2233,0,0,3
25,1.3794,1.3794,0,0,4
73,0.379,0.17789999999999995,0.004,0.1971,4
24,1.0009000000000001,0.3507,0.6502,0,5
35,-0.29100000000000004,-0.13090000000000002,0,0.3186,3
52,0.04530000000000001,0.0373,0.004,0.004,3
44,0.8882,0.1121,0.004,0.7721,5
347,1.3235,1.7861999999999998,0.008,0.008,4
83,0.4356,1.042,-0.2754,-0.331,5
26,1.1027,1.1027,0,0,3
24,-0.0091,0.004,-0.0131,0,5
117,-0.23509999999999998,-0.2383,0.008,0,3
321,-0.4271000000000001,-0.2390000000000001,-0.1913,0.008,1
24,0.14209999999999998,0.3716,0.2452,0.004,2
85,0.7409,0.5051,0,0.2358,4
90,0.12940000000000002,0.12940000000000002,0,0,2
46,0.3796,0.3716,0.004,0.004,2
66,1.3852999999999998,1.3860999999999997,0.004,-0.0048,4
26,0.8384,0.741,0,0.0974,3
24,1.3970999999999998,1.1148,0.2823,0,3
102,0.5114000000000001,1.1802,-0.34049999999999997,-0.3283,1
388,0.7730999999999998,1.1216,-0.0063999999999999994,-0.3421,3
26,-0.7876000000000001,-0.3089,0,0,1
52,0.09449999999999997,0.10009999999999997,0.004,-0.0048,3
243,3.7856000000000005,3.6868,-0.04240000000000001,-0.0498,5
24,0.2066,0.2066,0,0,5
69,0.5894,0.4927,0.004,0.0927,2
54,0.872,0.868,0,0,2
81,-0.26030000000000003,-0.2595,0.004,-0.0048,1
24,-0.2716,-0.2716,0,0,3
43,0.0645,0.0605,0,0.004,3
180,0.36889999999999995,0.6285999999999999,-0.0048,0.2238,3
22,0.30929999999999996,0.30529999999999996,0,0.004,5
48,0.8734,0.8734,0,0,5
51,0.6287,0.1879,0.3446,0.09620000000000001,5
88,0.3587999999999999,0.9541,-0.5953,0,4
39,0.7424,0.7384,0.004,0,5
126,-0.19260000000000005,0.24570000000000003,-0.4367,-0.005599999999999999,3
29,0.25199999999999995,0.1609,0.0911,0,4
47,0.004,0,0,0.004,2
51,0.13379999999999997,0.6124999999999999,0,0,3
72,0.7704,0.7704,0,0,1
49,0.4962,0.493,0.004,0.004,2
67,0.7463,0.7463,0,0,4
81,0.3956,0.3876,0.004,0.004,1
23,-0.4196,0.1169,0,-0.5365,1
68,-0.7038000000000002,-0.7118000000000002,0.008,0,2
24,-0.39099999999999996,-0.39499999999999996,0.004,0,3
38,0.7472,0.7432,0.004,0,5
72,-0.09590000000000001,-0.10790000000000002,0.008,0.004,3
27,0,0,0,0,5
29,1.4811,1.4771,0,0.004,5
48,-0.6325000000000001,-0.4691,0,-0.1634,1
42,0.2299,0.7664,0,-0.5365,4
139,-0.3142000000000001,0.7459,-0.7099,-0.3502,1
37,0.4931,0.4931,0,0,4
51,0.4939,0.4939,0,0,2
157,-0.025899999999999965,-0.03709999999999998,0.0032000000000000006,0.008,2
29,0.23470000000000002,0.23070000000000002,0,0.004,4
173,3.4145000000000003,3.2203,0,0.008,4
30,0.004,0,0,0.004,4
31,0.3716,0.3716,0,0,4
180,1.139,0.932,0.2078,-0.0007999999999999995,2
118,-0.9830000000000001,0.0065000000000000014,-0.5148,0.004,5
102,-1.7343,-1.7343,0,0,2
58,-0.184,-0.184,0,0,1
28,-0.773,0,-0.773,0,1
31,0.7101999999999999,0.7110000000000001,-0.0007999999999999995,0,4
120,0.258,0.24600000000000002,0.008,0.004,2
31,0,0,0,0,2
155,-0.2957000000000001,0.17499999999999993,0,0.008,2
25,0.1438,0.1438,0,0,1
65,1.1941,1.1941,0,0,5
65,-0.5085000000000001,-0.6326,0.004,0.1201,2
324,0.9408999999999998,1.3995999999999997,0.016,0.004,4
41,-0.27080000000000004,-0.6365000000000001,0,0,5
35,0.5052,0.5052,0,0,2
289,0.3303,0.7429,-0.773,0.3652,5
60,0.011300000000000001,0.0033,0,0.008,4
28,0.0859,0.0859,0,0,2
41,1.5497000000000003,1.0391000000000001,0,0.5106,5
30,-0.0048,-0.0048,0,0,4
99,-0.06680000000000003,0.4705,0.004,-0.5413,2
82,-0.05239999999999995,0.745,-0.3465,0.3612,1
57,0.7211,0.7211,0,0,3
26,0.26769999999999994,0.7472,0,-0.0007999999999999995,4
248,-1.6195999999999997,-0.31680000000000014,-0.3454,0,1
49,0.8631999999999999,0.868,0,-0.0048,3
261,-0.77,0.2701,-0.765,0.2036,1
60,0.07139999999999996,0.0605,0,0.4896,3
106,-0.1178000000000001,0.2091999999999999,0,-0.327,3
177,-0.8385000000000001,-0.3285,-0.2048,0.1783,2
70,0.5861999999999999,0.5861999999999999,0,0,3
89,-0.3738,0.1009,0,0.004,2
47,-0.13929999999999998,-0.1473,0.008,0,2
58,0.7198,0.7198,0,0,3
76,-0.3162,0.22110000000000002,-0.0048,-0.5325,1
32,1.4375,1.4375,0,0,5
95,-0.6339,-0.6331,0,-0.0007999999999999995,1
25,0,0,0,0,1
24,0.0032000000000000006,-0.0007999999999999995,0,0,5
23,-0.6143,-0.6183,0,0.004,3
57,1.3098,1.2978,0.008,0.004,5
33,-0.49239999999999995,-0.4876,0,-0.0048,1
108,0.11679999999999996,0.48769999999999997,-0.3749,0.004,4
99,0.9219999999999999,0.24169999999999997,0,0.3186,5
213,2.1695000000000007,2.47,-0.3865,0.08600000000000001,4
32,1.4759,1.1269,0.004,0.345,4
