@relation Review_sentiment


@attribute token_number numeric
@attribute overall_sentiment numeric
@attribute adjective_sentiment numeric
@attribute noun_sentiment numeric
@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
510,1.3745000000000003,1.1717000000000004,0.002,0.2056,1
33,-0.3825,0.004,-0.3865,0,1
148,-0.7717999999999999,0.16860000000000008,0.008,-0.4697,2
152,0.18539999999999984,0.48579999999999995,-0.3124,0.012,1
57,-0.4289,-0.2314,0,-0.1975,2
36,0.30889999999999995,0.30489999999999995,0.004,0,4
70,0.3112,0.9566,-0.3865,0.2198,4
28,1.5493000000000001,1.1169,0,0.4324,4
92,1.8504000000000003,1.1977,0.008,0.6446999999999999,5
48,-0.6669,-0.6621,-0.0048,0,3
65,-0.19110000000000005,-0.23199999999999998,0,0.5196,3
116,-0.17359999999999998,-0.4094,0,0.2358,3
358,3.7658000000000005,2.6527999999999996,0.0032000000000000006,1.1098,5
82,-0.0363,0.012,-0.0483,0,5
55,1.1188,1.1284,-0.0048,0,4
30,0.6334,0.3756,0,0.2578,2
75,0.003699999999999981,0.48239999999999994,0,0,3
43,-0.0048,0,0,-0.0048,1
34,-0.8167,-0.33799999999999997,0,0,2
96,-1.1781000000000001,-0.3169000000000001,-0.3825,0,1
54,-0.5251000000000001,-0.5351,0.0108,-0.0007999999999999995,4
28,-0.09250000000000003,0.3862,0,0,3
184,0.7434000000000001,0.9441999999999999,-0.2008,0,2
90,-0.06390000000000004,-0.06790000000000004,0,0.004,3
517,2.0492999999999997,2.6050000000000004,-0.3521,-0.2036,5
507,3.082900000000001,2.7734000000000005,0.6481,-0.33860000000000007,2
237,0.27470000000000006,0.7988,-0.5281,0.004,2
113,-1.1549,-0.8279,0.004,-0.331,1
205,0.5896000000000001,0.3197,0.6544000000000001,-0.38449999999999995,3
432,-0.6416000000000001,0.4618999999999999,-0.1003,-0.19510000000000005,3
46,-0.8934,-0.5845,0.004,-0.3129,2
25,-1.1126,-1.1166,0,0.004,2
58,0.2850999999999999,0.7597999999999999,0.004,0,4
125,-0.7099,-0.7099,0,0,2
301,2.788700000000001,1.8383999999999998,0.6954,0.7384000000000001,4
79,-0.3655999999999999,-0.36959999999999993,0,0.004,3
289,-1.5144,-0.7406,-0.773,-0.0007999999999999995,1
110,2.6988,2.2462999999999997,0.2207,0.2318,5
28,0.0711,0,0.0711,0,5
237,0.6227,0.6107,0.012,0,1
83,-0.407,-0.7356,0.3286,0,3
138,0.21430000000000002,0.6702,0,-0.45589999999999997,4
146,1.4243999999999999,1.4252,0,0.004,4
35,0.43520000000000003,0.48210000000000003,-0.0469,0,5
44,0.3756,0.3756,0,0,5
491,0.31829999999999997,1.1597,-0.1374,-0.704,1
31,-1.5593,-0.5751,-0.0534,-0.4521,1
168,1.2436,1.2316,0.008,0.004,5
29,0.393,0.393,0,0,4
477,1.7844000000000004,2.9172999999999996,-0.5980000000000001,-0.5428999999999999,5
115,1.7523,1.6715,0,0,4
33,0.1099,0.1099,0,0,5
366,-2.0342000000000002,-1.0434000000000003,0,-0.9908000000000001,4
110,0.264,0.019699999999999995,0.4832,0.2398,1
40,0.004,0.004,0,0,1
84,-0.2055,-0.2047,-0.0048,0.004,3
39,-0.6418999999999999,-0.3066,0,-0.3353,1
247,0.33159999999999995,1.3744999999999998,-0.4242,-0.14,4
1003,-4.4254999999999995,1.1216,-4.6745,0.08479999999999999,4
27,1.2229,1.2229,0,0,5
29,-0.34950000000000003,-0.3447,-0.0048,0,2
59,0.3797,0.3797,0,0,4
40,0.9977,0.9937,0.004,0,5
110,-1.2212000000000003,-0.6619,-0.769,0.2097,1
48,0.8768,0.8768,0,0,3
64,0.8916999999999999,0.8876999999999999,0,0.004,3
30,-0.0167,-0.0167,0,0,3
