@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute binary_judgement {good, bad}
@data
510,2695.1,2297.45,3.92157,403.137,bad
33,-11590.9,121.212,-11712.1,0,bad
148,-5214.86,1139.19,54.0541,-3173.65,bad
152,1219.74,3196.05,-2055.26,78.9474,bad
57,-7524.56,-4059.65,0,-3464.91,bad
36,8580.56,8469.44,111.111,0,good
70,4445.71,13665.7,-5521.43,3140,good
28,55332.1,39889.3,0,15442.9,good
92,20113,13018.5,86.9565,7007.61,good
48,-13893.8,-13793.8,-100,0,bad
65,-2940,-3569.23,0,7993.85,bad
116,-1496.55,-3529.31,0,2032.76,bad
358,10519,7410.06,8.93855,3100,good
82,-442.683,146.341,-589.024,0,good
55,20341.8,20516.4,-87.2727,0,good
30,21113.3,12520,0,8593.33,bad
75,49.3333,6432,0,0,bad
43,-111.628,0,0,-111.628,bad
34,-24020.6,-9941.18,0,0,bad
96,-12271.9,-3301.04,-3984.38,0,bad
54,-9724.07,-9909.26,200,-14.8148,good
28,-3303.57,13792.9,0,0,bad
184,4040.22,5131.52,-1091.3,0,bad
90,-710,-754.444,0,44.4444,bad
517,3963.83,5038.68,-681.044,-393.81,good
507,6080.67,5470.22,1278.3,-667.85,bad
237,1159.07,3370.46,-2228.27,16.8776,bad
113,-10220.4,-7326.55,35.3982,-2929.2,bad
205,2876.1,1559.51,3192.2,-1875.61,bad
432,-1485.19,1069.21,-232.176,-451.62,bad
46,-19421.7,-12706.5,86.9565,-6802.17,bad
25,-44504,-44664,0,160,bad
58,4915.52,13100,68.9655,0,good
125,-5679.2,-5679.2,0,0,bad
301,9264.78,6107.64,2310.3,2453.16,good
79,-4627.85,-4678.48,0,50.6329,bad
289,-5240.14,-2562.63,-2674.74,-2.76817,bad
110,24534.5,20420.9,2006.36,2107.27,good
28,2539.29,0,2539.29,0,good
237,2627.43,2576.79,50.6329,0,bad
83,-4903.61,-8862.65,3959.04,0,bad
138,1552.9,4856.52,0,-3303.62,good
146,9756.16,9761.64,0,27.3973,good
35,12434.3,13774.3,-1340,0,good
44,8536.36,8536.36,0,0,good
491,648.269,2361.91,-279.837,-1433.81,bad
31,-50300,-18551.6,-1722.58,-14583.9,bad
168,7402.38,7330.95,47.619,23.8095,good
29,13551.7,13551.7,0,0,good
477,3740.88,6115.93,-1253.67,-1138.16,good
115,15237.4,14534.8,0,0,good
33,3330.3,3330.3,0,0,good
366,-5557.92,-2850.82,0,-2707.1,good
110,2400,179.091,4392.73,2180,bad
40,100,100,0,0,bad
84,-2446.43,-2436.9,-57.1429,47.619,bad
39,-16459,-7861.54,0,-8597.44,bad
247,1342.51,5564.78,-1717.41,-566.802,good
1003,-4412.26,1118.25,-4660.52,84.5464,good
27,45292.6,45292.6,0,0,good
29,-12051.7,-11886.2,-165.517,0,bad
59,6435.59,6435.59,0,0,good
40,24942.5,24842.5,100,0,good
110,-11101.8,-6017.27,-6990.91,1906.36,bad
48,18266.7,18266.7,0,0,bad
64,13932.8,13870.3,0,62.5,bad
30,-556.667,-556.667,0,0,bad
113,1098.23,1105.31,35.3982,0,good
527,-859.583,1740.8,-2554.46,-45.9203,bad
219,3238.81,1736.07,18.2648,1484.47,bad
24,-15583.3,-15750,0,166.667,bad
1520,-4422.5,2.17105,-2950.53,-306.316,bad
32,-43096.9,-32753.1,0,-10343.8,bad
30,16840,16840,0,0,bad
30,10753.3,10753.3,0,0,good
203,10557.1,8720.2,0,3262.07,bad
892,-5597.76,-2030.04,-1813.45,-301.794,bad
35,18837.1,18837.1,0,0,good
20,200,200,0,0,good
246,-151.22,4717.07,-3465.04,-2179.67,bad
301,9264.78,6107.64,2310.3,2453.16,good
126,-5439.68,-422.222,-5017.46,0,bad
167,-498.204,1471.86,0,-1970.06,bad
23,700,700,0,0,good
94,-5702.13,-5651.06,0,-51.0638,bad
57,-7921.05,-1140.35,-6780.7,0,bad
23,-39356.5,-48665.2,0,9308.7,bad
25,36308,23564,0,12744,good
22,50550,50368.2,181.818,0,good
137,7580.29,8850.36,0,-1270.07,good
31,-10093.5,-10093.5,0,0,bad
77,-1723.38,2236.36,51.9481,-4011.69,bad
191,1881.15,1350.26,0,530.89,bad
319,-6085.89,-1083.39,222.884,-2224.14,bad
76,-2769.74,2210.53,-5032.89,52.6316,good
344,-6458.43,-2331.69,-893.314,-3892.44,bad
234,-958.12,1554.27,0,-466.667,bad
26,22176.9,22176.9,0,0,bad
92,1052.17,86.9565,43.4783,43.4783,good
37,21059.5,20951.4,0,108.108,good
23,-3008.7,0,0,-3008.7,bad
24,0,0,0,0,good
27,12344.4,3733.33,0,8611.11,good
31,-16129,0,-16129,0,bad
66,-5087.88,0,-72.7273,-5015.15,bad
343,-4909.04,2411.66,-2353.94,629.738,bad
125,17748.8,16979.2,0,769.6,bad
63,-7825.4,-7825.4,0,0,bad
43,27539.5,27539.5,0,0,good
23,22587,22587,0,0,good
234,-4211.11,-2858.12,-1352.99,0,bad
56,24137.5,24137.5,0,0,good
23,26182.6,26182.6,0,0,good
155,-5702.58,-3681.94,-344.516,-1676.13,bad
49,27681.6,17975.5,0,9706.12,good
142,11679.6,11436.6,0,3045.07,bad
22,-3713.64,17863.6,0,181.818,bad
535,-2064.67,-928.037,-868.972,-1.49533,bad
40,200,100,0,100,bad
47,2012.77,2012.77,0,0,bad
371,986.792,2273.32,-3077.36,1790.84,bad
446,-2745.52,-1695.74,-1691.48,1715.02,good
122,-3062.3,828.689,32.7869,0,bad
43,-6220.93,-6220.93,0,0,good
910,1906.81,5260.11,-3771.1,20.3297,bad
22,61072.7,61072.7,0,0,good
205,-4635.61,1677.07,-6351.71,39.0244,bad
194,8094.85,4098.45,952.577,3043.81,bad
137,15941.6,19505.8,-70.073,0,bad
182,12145.6,14247.3,-2123.63,21.978,good
385,-4468.57,998.701,-3011.69,31.1688,bad
443,10117.8,9206.09,-765.237,1667.95,bad
177,7675.71,10015.8,0,-2362.71,good
167,14256.9,14266.5,23.9521,-4.79042,good
78,-5658.97,-5064.1,-594.872,0,bad
29,59255.2,59117.2,0,137.931,good
160,-18204.4,-16381.3,-2390.62,567.5,good
30,53193.3,37220,15973.3,0,good
25,23312,23312,0,0,good
430,-4368.6,-3404.19,-391.395,-573.023,good
24,166.667,166.667,0,0,good
26,-1623.08,-1623.08,0,0,bad
216,-7119.44,-6031.02,37.037,-1125.46,bad
40,12410,12530,0,-120,bad
250,-6395.6,2776,-7335.2,-1836.4,bad
89,12927,9985.39,44.9438,2896.63,bad
65,44.6154,-3767.69,0,3812.31,bad
120,0,0,0,0,bad
181,7161.33,5920.44,-26.5193,1267.4,bad
59,5861.02,-13.5593,4184.75,1689.83,good
210,-6653.81,-5427.14,-1802.38,575.714,bad
39,24687.2,24687.2,0,0,good
92,2979.35,3866.3,-5586.96,4700,bad
61,16680.3,13549.2,0,0,good
210,-4892.86,2921.9,-7471.9,-342.857,bad
171,-3864.33,1443.86,-5354.97,46.7836,bad
297,3379.46,3921.89,-1333.67,791.246,bad
20,68970,68970,0,0,good
143,8467.13,8683.92,0,-216.783,good
216,7036.11,3489.35,-1481.94,37.037,good
79,-4244.3,0,0,-4244.3,bad
171,-4849.71,-2069.01,-4.67836,23.3918,bad
71,30539.4,27849.3,0,0,good
244,8797.54,11272.1,-1295.49,0,good
100,9961,9881,0,80,good
