@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
510,2695.1,2297.45,3.92157,403.137,1
33,-11590.9,121.212,-11712.1,0,1
148,-5214.86,1139.19,54.0541,-3173.65,2
152,1219.74,3196.05,-2055.26,78.9474,1
57,-7524.56,-4059.65,0,-3464.91,2
36,8580.56,8469.44,111.111,0,4
70,4445.71,13665.7,-5521.43,3140,4
28,55332.1,39889.3,0,15442.9,4
92,20113,13018.5,86.9565,7007.61,5
48,-13893.8,-13793.8,-100,0,3
65,-2940,-3569.23,0,7993.85,3
116,-1496.55,-3529.31,0,2032.76,3
358,10519,7410.06,8.93855,3100,5
82,-442.683,146.341,-589.024,0,5
55,20341.8,20516.4,-87.2727,0,4
30,21113.3,12520,0,8593.33,2
75,49.3333,6432,0,0,3
43,-111.628,0,0,-111.628,1
34,-24020.6,-9941.18,0,0,2
96,-12271.9,-3301.04,-3984.38,0,1
54,-9724.07,-9909.26,200,-14.8148,4
28,-3303.57,13792.9,0,0,3
184,4040.22,5131.52,-1091.3,0,2
90,-710,-754.444,0,44.4444,3
517,3963.83,5038.68,-681.044,-393.81,5
507,6080.67,5470.22,1278.3,-667.85,2
237,1159.07,3370.46,-2228.27,16.8776,2
113,-10220.4,-7326.55,35.3982,-2929.2,1
205,2876.1,1559.51,3192.2,-1875.61,3
432,-1485.19,1069.21,-232.176,-451.62,3
46,-19421.7,-12706.5,86.9565,-6802.17,2
25,-44504,-44664,0,160,2
58,4915.52,13100,68.9655,0,4
125,-5679.2,-5679.2,0,0,2
301,9264.78,6107.64,2310.3,2453.16,4
79,-4627.85,-4678.48,0,50.6329,3
289,-5240.14,-2562.63,-2674.74,-2.76817,1
110,24534.5,20420.9,2006.36,2107.27,5
28,2539.29,0,2539.29,0,5
237,2627.43,2576.79,50.6329,0,1
83,-4903.61,-8862.65,3959.04,0,3
138,1552.9,4856.52,0,-3303.62,4
146,9756.16,9761.64,0,27.3973,4
35,12434.3,13774.3,-1340,0,5
44,8536.36,8536.36,0,0,5
491,648.269,2361.91,-279.837,-1433.81,1
31,-50300,-18551.6,-1722.58,-14583.9,1
168,7402.38,7330.95,47.619,23.8095,5
29,13551.7,13551.7,0,0,4
477,3740.88,6115.93,-1253.67,-1138.16,5
115,15237.4,14534.8,0,0,4
33,3330.3,3330.3,0,0,5
366,-5557.92,-2850.82,0,-2707.1,4
110,2400,179.091,4392.73,2180,1
40,100,100,0,0,1
84,-2446.43,-2436.9,-57.1429,47.619,3
39,-16459,-7861.54,0,-8597.44,1
247,1342.51,5564.78,-1717.41,-566.802,4
1003,-4412.26,1118.25,-4660.52,84.5464,4
27,45292.6,45292.6,0,0,5
29,-12051.7,-11886.2,-165.517,0,2
59,6435.59,6435.59,0,0,4
40,24942.5,24842.5,100,0,5
110,-11101.8,-6017.27,-6990.91,1906.36,1
48,18266.7,18266.7,0,0,3
64,13932.8,13870.3,0,62.5,3
30,-556.667,-556.667,0,0,3
113,1098.23,1105.31,35.3982,0,4
527,-859.583,1740.8,-2554.46,-45.9203,2
219,3238.81,1736.07,18.2648,1484.47,1
24,-15583.3,-15750,0,166.667,3
1520,-4422.5,2.17105,-2950.53,-306.316,2
32,-43096.9,-32753.1,0,-10343.8,2
30,16840,16840,0,0,1
30,10753.3,10753.3,0,0,5
203,10557.1,8720.2,0,3262.07,3
892,-5597.76,-2030.04,-1813.45,-301.794,3
35,18837.1,18837.1,0,0,5
20,200,200,0,0,5
246,-151.22,4717.07,-3465.04,-2179.67,2
301,9264.78,6107.64,2310.3,2453.16,4
126,-5439.68,-422.222,-5017.46,0,2
167,-498.204,1471.86,0,-1970.06,3
23,700,700,0,0,5
94,-5702.13,-5651.06,0,-51.0638,1
57,-7921.05,-1140.35,-6780.7,0,2
23,-39356.5,-48665.2,0,9308.7,3
25,36308,23564,0,12744,5
22,50550,50368.2,181.818,0,5
137,7580.29,8850.36,0,-1270.07,4
31,-10093.5,-10093.5,0,0,1
77,-1723.38,2236.36,51.9481,-4011.69,1
191,1881.15,1350.26,0,530.89,2
319,-6085.89,-1083.39,222.884,-2224.14,3
76,-2769.74,2210.53,-5032.89,52.6316,4
344,-6458.43,-2331.69,-893.314,-3892.44,2
234,-958.12,1554.27,0,-466.667,2
26,22176.9,22176.9,0,0,1
92,1052.17,86.9565,43.4783,43.4783,4
37,21059.5,20951.4,0,108.108,5
23,-3008.7,0,0,-3008.7,1
24,0,0,0,0,4
27,12344.4,3733.33,0,8611.11,5
31,-16129,0,-16129,0,1
66,-5087.88,0,-72.7273,-5015.15,1
343,-4909.04,2411.66,-2353.94,629.738,3
125,17748.8,16979.2,0,769.6,2
63,-7825.4,-7825.4,0,0,3
43,27539.5,27539.5,0,0,5
23,22587,22587,0,0,5
234,-4211.11,-2858.12,-1352.99,0,2
56,24137.5,24137.5,0,0,5
23,26182.6,26182.6,0,0,5
155,-5702.58,-3681.94,-344.516,-1676.13,1
49,27681.6,17975.5,0,9706.12,4
142,11679.6,11436.6,0,3045.07,3
22,-3713.64,17863.6,0,181.818,1
535,-2064.67,-928.037,-868.972,-1.49533,2
40,200,100,0,100,1
47,2012.77,2012.77,0,0,3
371,986.792,2273.32,-3077.36,1790.84,3
446,-2745.52,-1695.74,-1691.48,1715.02,4
122,-3062.3,828.689,32.7869,0,1
43,-6220.93,-6220.93,0,0,4
910,1906.81,5260.11,-3771.1,20.3297,2
22,61072.7,61072.7,0,0,5
205,-4635.61,1677.07,-6351.71,39.0244,3
194,8094.85,4098.45,952.577,3043.81,2
137,15941.6,19505.8,-70.073,0,3
182,12145.6,14247.3,-2123.63,21.978,4
385,-4468.57,998.701,-3011.69,31.1688,2
443,10117.8,9206.09,-765.237,1667.95,3
177,7675.71,10015.8,0,-2362.71,5
167,14256.9,14266.5,23.9521,-4.79042,4
78,-5658.97,-5064.1,-594.872,0,1
29,59255.2,59117.2,0,137.931,5
160,-18204.4,-16381.3,-2390.62,567.5,4
30,53193.3,37220,15973.3,0,4
25,23312,23312,0,0,5
430,-4368.6,-3404.19,-391.395,-573.023,4
24,166.667,166.667,0,0,4
26,-1623.08,-1623.08,0,0,3
216,-7119.44,-6031.02,37.037,-1125.46,1
40,12410,12530,0,-120,2
250,-6395.6,2776,-7335.2,-1836.4,1
89,12927,9985.39,44.9438,2896.63,3
65,44.6154,-3767.69,0,3812.31,2
120,0,0,0,0,2
181,7161.33,5920.44,-26.5193,1267.4,2
59,5861.02,-13.5593,4184.75,1689.83,5
210,-6653.81,-5427.14,-1802.38,575.714,2
39,24687.2,24687.2,0,0,4
92,2979.35,3866.3,-5586.96,4700,1
61,16680.3,13549.2,0,0,5
210,-4892.86,2921.9,-7471.9,-342.857,2
171,-3864.33,1443.86,-5354.97,46.7836,3
297,3379.46,3921.89,-1333.67,791.246,3
20,68970,68970,0,0,5
143,8467.13,8683.92,0,-216.783,4
216,7036.11,3489.35,-1481.94,37.037,4
79,-4244.3,0,0,-4244.3,1
171,-4849.71,-2069.01,-4.67836,23.3918,3
71,30539.4,27849.3,0,0,5
244,8797.54,11272.1,-1295.49,0,5
100,9961,9881,0,80,5
175,-589.143,2059.43,41.1429,45.7143,4
35,23414.3,10731.4,0,12682.9,1
30,-556.667,-556.667,0,0,3
24,-1137.5,21050,0,-22187.5,3
257,5210.89,6125.68,-3605.45,2690.66,4
54,4079.63,12870.4,0,74.0741,5
50,-18412,-18412,0,0,2
144,7515.28,9229.86,-1770.14,55.5556,4
103,-6324.27,-2635.92,-3727.18,38.835,1
57,22077.2,22077.2,0,0,4
230,2157.39,2146.96,-41.7391,34.7826,2
166,3379.52,2055.42,-1233.73,2586.75,1
50,-15412,-15412,0,0,2
43,8960.47,16611.6,0,-7651.16,3
149,-5524.16,-979.195,-2593.96,-1951.01,3
207,12084.5,9918.36,38.6473,2127.54,5
51,-32709.8,-23402,78.4314,0,1
126,-10613.5,-10314.3,5393.65,-5692.86,1
240,2667.5,9172.08,-1096.25,-1419.17,3
30,44716.7,44583.3,133.333,0,4
648,35.3395,4450,-2135.8,-2264.04,1
48,1731.25,83.3333,1564.58,83.3333,2
35,10731.4,10731.4,0,0,5
815,-2558.53,1547.12,-2033.01,-1633.5,2
44,41477.3,39120.5,90.9091,2265.91,5
120,5948.33,14375,0,-4437.5,4
116,15350,13703.4,0,1646.55,3
245,-196.735,6288.98,-7392.24,906.531,2
33,5966.67,5966.67,0,0,3
414,-3038.41,1265.7,-1927.78,-1220.05,2
115,4128.7,4170.43,0,-41.7391,4
56,-19160.7,0,0,-19160.7,1
448,3447.32,5580.13,-5188.84,2145.09,2
115,6582.61,6554.78,34.7826,-6.95652,1
36,29355.6,19772.2,0,9583.33,5
248,13374.6,17474.6,16.129,-2166.53,4
269,-5952.79,-2595.91,-2873.61,1296.28,3
25,324,324,0,0,4
125,-11855.2,879.2,-3092,-9642.4,3
641,2866.77,3758.5,-1404.68,512.949,3
368,13509,12046.2,0,10.8696,4
127,11444.1,4764.57,3944.09,2735.43,4
138,10262.3,8760.87,-34.7826,1536.23,5
40,9290,9290,0,0,1
58,-6746.55,-82.7586,-6663.79,0,2
206,-3302.43,-3082.52,0,2084.47,3
21,0,0,0,0,2
180,2549.44,4630,-2102.78,22.2222,5
23,25143.5,25352.2,0,-208.696,3
438,10127.4,9695.89,5.47945,426.027,5
176,12793.2,14662.5,22.7273,-1892.05,3
139,2866.91,2780.58,28.777,28.777,2
404,-8207.67,-1361.14,-1163.12,-3786.39,1
268,7499.63,7333.96,165.672,0,5
38,1215.79,1236.84,-126.316,105.263,1
82,-5887.8,4841.46,-4176.83,-6552.44,2
28,48903.6,48760.7,142.857,0,4
140,-2049.29,-1114.29,2518.57,-34.2857,3
74,108.108,0,108.108,0,1
194,8094.85,4098.45,952.577,3043.81,2
37,0,0,0,0,1
46,-6871.74,0,-6958.7,86.9565,4
166,26426.5,24424.1,0,2002.41,5
27,13285.2,13285.2,0,0,3
35,14777.1,14777.1,0,0,5
105,-11385.7,-11378.1,38.0952,-45.7143,1
386,-4572.28,-44.5596,14.5078,-842.487,5
76,14850,14797.4,52.6316,0,4
75,22032,5528,9661.33,5765.33,5
332,-1325.3,90.6627,1057.83,-1031.93,1
83,-4903.61,-8862.65,3959.04,0,3
564,-4194.68,1717.91,-4480.32,-2109.57,2
319,2541.07,1829.47,25.0784,686.52,4
194,-1196.91,-2310.82,20.6186,-1685.57,2
154,-2857.79,177.922,77.9221,25.974,1
79,-6974.68,-7025.32,0,50.6329,2
370,598.919,2315.95,-912.703,-826.216,3
28,-1360.71,285.714,-1646.43,0,5
28,-39464.3,-22367.9,0,0,4
130,10180.8,12066.2,-2665.38,780,2
177,1823.73,6063.84,-4262.71,22.5989,2
143,1441.96,7062.24,55.9441,-2328.67,5
34,117.647,0,0,117.647,1
30,5643.33,12226.7,0,-6583.33,1
20,10885,10885,0,0,4
25,-32,-32,0,0,5
31,129.032,0,0,129.032,5
167,-904.79,-1198.8,-2319.16,2613.17,4
119,2012.61,2494.12,2689.08,852.101,2
510,-1485.1,2600.59,-246.471,-1308.24,4
221,1128.96,5020.36,0,440.724,4
309,7260.52,7221.68,12.945,25.89,5
24,-10591.7,9354.17,0,0,3
155,3530.97,5536.13,-3217.42,1212.26,1
61,-33518,-8668.85,-6129.51,-18719.7,1
23,25465.2,16330.4,0,9134.78,5
181,-3751.38,713.812,-4646.41,181.215,2
270,-7584.81,-2152.96,-2684.07,798.148,4
26,9261.54,9261.54,0,0,3
165,5681.21,11944.8,-6263.64,0,3
365,2176.16,3489.86,-2.19178,0,3
92,1929.35,6579.35,0,553.261,4
93,-1013.98,3026.88,1106.45,0,1
42,5392.86,5392.86,0,0,2
109,-9635.78,-778.899,-5838.53,-3018.35,1
427,-478.22,4154.1,-4587.12,-45.1991,1
714,5450.42,5285.71,-2176.19,2226.05,4
29,137.931,0,137.931,0,1
133,5000,7872.93,-2872.93,0,3
47,85.1064,85.1064,0,0,1
507,6080.67,5470.22,1278.3,-667.85,2
1218,4069.7,4885.39,-913.054,-345.238,4
80,0,0,0,0,4
144,-1246.53,14424.3,-17544.4,1873.61,5
54,133.333,74.0741,-88.8889,148.148,2
71,30053.5,29997.2,0,56.338,5
59,14496.6,14578,0,-81.3559,5
441,-597.052,-613.379,-1.81406,18.1406,3
24,16375,16375,0,0,5
155,-9625.16,-943.871,-6571.61,-2109.68,1
347,11845.8,10697.4,-97.6945,1246.11,5
144,-5946.53,613.194,-3263.19,27.7778,2
23,15626.1,15452.2,0,173.913,2
35,-13677.1,0,0,0,2
71,-4187.32,2554.93,0,0,2
56,7075,7089.29,71.4286,-85.7143,3
69,-6728.99,162.319,0,115.942,3
181,13584.5,13496.1,22.0994,66.2983,5
72,-10743.1,-5430.56,-5312.5,0,1
37,-30627,-38256.8,7629.73,0,4
38,9721.05,9721.05,0,0,3
42,-19769,-8352.38,95.2381,0,2
71,10954.9,15650.7,0,0,4
116,294.828,27.5862,-1765.52,2032.76,1
121,4040.5,7274.38,-3194.21,0,3
557,-1137.34,1978.28,-3715.62,491.562,3
73,18126,22795.9,0,-4669.86,3
1515,1240.59,3571.16,-646.997,-1463.5,4
52,-18959.6,-14819.2,0,-4140.38,2
23,12395.7,12221.7,173.913,0,3
67,5819.4,-634.328,0,6453.73,1
20,400,200,0,200,1
676,10617.6,10348.7,-1194.97,1463.91,4
77,9688.31,13997.4,0,-4309.09,2
161,-7527.95,-7627.33,74.5342,24.8447,2
121,-5527.27,99.1736,-3994.21,-1632.23,1
342,12663.7,10716.4,0,1947.37,5
32,21968.8,21968.8,0,0,4
138,-4023.19,-754.348,0,-3268.84,3
80,14871.3,24716.3,0,-3861.25,2
20,18580,18580,0,0,3
18,20966.7,20522.2,444.444,0,5
80,5352.5,5835,-482.5,0,5
125,13532.8,15726.4,-3092,898.4,3
62,-18164.5,-1029.03,-17135.5,0,1
67,18956.7,26053.7,47.7612,0,4
80,15,-25,0,40,2
19,0,0,0,0,4
1066,-2834.9,-1903.94,-443.715,-543.902,2
21,70338.1,70147.6,190.476,0,5
40,1935,2055,0,0,3
265,18669.1,15037.4,3616.6,15.0943,5
155,5556.77,8943.87,0,2789.68,2
259,-4499.61,-1366.8,-3132.82,0,3
239,-4282.01,-85.3556,-2774.9,-1401.67,2
44,8281.82,8190.91,0,90.9091,4
22,4440.91,4259.09,0,181.818,4
53,3169.81,-4898.11,0,8158.49,5
36,-13627.8,-463.889,-13163.9,0,1
42,476.19,190.476,190.476,95.2381,4
64,2842.19,2779.69,62.5,0,5
28,2539.29,0,2539.29,0,1
100,-2245,11380,-3425,-5413,3
55,2923.64,3747.27,-6954.55,6130.91,1
153,-2221.57,-3902.61,1602.61,78.4314,1
216,3079.17,5976.39,-1617.13,-1280.09,3
53,8013.21,8013.21,0,0,5
20,17060,16860,0,200,2
61,-5501.64,3685.25,-12672.1,3485.25,5
108,-696.296,-770.37,0,74.0741,1
270,-1532.96,948.148,-3352.96,871.852,4
29,-17910.3,-575.862,-17334.5,0,2
209,1318.66,3819.14,-926.316,-1574.16,5
155,-5235.48,-5235.48,0,0,4
474,-9798.31,-5393.04,-1864.77,-1520.46,1
184,9595.65,9595.65,0,0,3
139,-15373.4,28.777,-11958.3,0,3
39,-16459,-7861.54,0,-8597.44,1
129,-7886.82,1899.22,-12218.6,2469.77,2
407,-2958.23,392.629,-4162.41,811.548,1
31,129.032,129.032,0,0,3
74,5475.68,5421.62,0,54.0541,3
54,622.222,548.148,0,74.0741,4
135,-6751.85,2746.67,-7174.81,-2288.15,1
80,15,-25,0,40,2
50,-18412,-18412,0,0,2
29,21451.7,21451.7,0,0,5
142,-8297.89,-513.38,-7042.25,-1516.2,1
32,0,0,0,0,5
906,2913.69,4062.91,-546.909,-602.318,3
47,10948.9,10863.8,0,85.1064,2
81,438.272,-2346.91,2735.8,49.3827,4
354,-8654.8,-2764.41,-4303.95,-2112.43,5
66,-18200,-8151.52,-10048.5,0,1
77,37696.1,29840.3,3666.23,4189.61,5
24,17216.7,17050,0,166.667,4
31,0,0,0,0,1
74,-14074.3,-2490.54,-5222.97,108.108,1
25,14864,14864,0,0,4
665,3399.7,3051.28,740.15,335.338,4
144,2112.5,-2941.67,5059.72,27.7778,3
175,19421.1,18161.1,-133.143,1393.14,4
131,-6380.92,-42.7481,-2950.38,-3387.79,2
28,0,0,0,0,1
34,38182.4,38182.4,0,0,5
78,-12033.3,-3376.92,-8656.41,0,2
93,7865.59,6775.27,0,1090.32,5
68,-10780.9,3108.82,1039.71,-7889.71,2
115,4348.7,4710.43,-396.522,34.7826,1
25,34292,34292,0,0,5
60,12386.7,12386.7,0,0,4
140,-3695.71,-3042.86,0,-652.857,4
34,-7438.24,2188.24,235.294,-9861.76,1
33,41257.6,38357.6,0,2900,5
215,-6172.09,900,507.442,-900,3
341,4968.04,6364.81,0,7.03812,4
149,3647.65,5006.04,-1326.17,-32.2148,5
71,7447.89,13422.5,-10611.3,4636.62,5
857,1058.69,2762.54,-779.463,-370.478,2
239,1997.49,-805.858,0,2803.35,3
225,-5475.56,-3994.67,-2305.33,2952,2
107,4826.17,8483.18,-3612.15,-44.8598,4
75,2796,11798.7,-9002.67,0,3
27,31288.9,31288.9,0,0,3
111,-3553.15,7755.86,-11309,0,2
106,-7368.87,3581.13,-4742.45,-6207.55,1
151,6190.07,8435.76,-4445.03,2199.34,1
124,10949.2,10884.7,0,64.5161,4
62,2024.19,1959.68,64.5161,0,4
22,92586.4,92404.5,0,181.818,5
38,105.263,0,105.263,0,2
494,-5279.96,-3592.31,-1054.05,-633.603,1
232,2130.6,12884.1,-9085.78,-1667.67,5
22,-9072.73,-9254.55,181.818,0,3
49,17975.5,17812.2,163.265,0,5
41,65180.5,65082.9,97.561,0,5
91,-298.901,-290.11,43.956,-52.7473,1
131,11009.9,6790.08,30.5344,4189.31,5
37,43989.2,43881.1,108.108,0,5
88,45.4545,45.4545,0,0,1
57,4357.89,6589.47,3575.44,-5807.02,1
101,2677.23,6424.75,-3787.13,39.604,4
26,36634.6,28553.8,0,8080.77,4
316,-1012.34,-994.62,-30.3797,12.6582,2
906,2913.69,4062.91,-546.909,-602.318,3
82,22336.6,22239,48.7805,48.7805,3
48,-27008.3,-23060.4,83.3333,-4031.25,2
27,17277.8,17277.8,0,0,3
58,-17650,-2539.66,-16700,1589.66,2
20,200,0,0,200,3
26,2900,-15530.8,18430.8,0,4
115,-22378.3,-12127,-1919.13,-6.95652,1
130,3421.54,3396.92,0,24.6154,3
107,-8844.86,-8042.99,-358.879,-5481.31,3
26,23361.5,14292.3,153.846,8915.38,4
77,-124.675,-124.675,0,0,1
40,-12272.5,-425,-11847.5,0,3
133,4476.69,4476.69,0,0,3
107,-3600.93,5479.44,-7186.92,2580.37,1
25,23312,23312,0,0,5
39,-3333.33,8941.03,0,0,4
1169,3627.37,3713.77,0,-422.583,4
377,-3183.29,-1311.67,-1737.93,-133.687,5
21,44457.1,44457.1,0,0,4
127,3946.46,3946.46,0,0,2
86,-10593,-2510.47,-2516.28,0,2
95,-9522.11,-9522.11,0,0,3
575,-7405.39,-1444.52,-672.174,-625.739,2
134,-2458.21,2987.31,-502.239,-1370.9,4
43,5018.6,5018.6,0,0,5
178,5110.67,5415.17,-304.494,0,2
155,-987.742,1375.48,-2467.74,104.516,1
299,7629.1,6842.14,-1281.94,1446.15,5
75,7518.67,7518.67,0,0,2
661,-4344.93,427.685,-2848.87,-855.673,3
35,3340,3340,0,0,5
50,7860,7860,0,0,5
53,601.887,9633.96,0,0,3
100,-8346,2147,-6752,1046,2
99,-20488.9,-9910.1,-48.4848,-10530.3,1
28,4175,4175,0,0,5
30,32256.7,32256.7,0,0,5
100,14741,14701,40,0,1
22,8863.64,0,0,181.818,1
70,7284.29,7284.29,0,0,5
39,-4269.23,-4371.79,102.564,0,1
57,32068.4,28382.5,0,3685.96,5
292,3764.73,6533.9,-2782.88,13.6986,2
20,11455,11455,0,0,5
192,-4676.56,-1989.06,20.8333,-215.104,1
285,4932.98,6078.95,28.0702,-1202.11,5
186,-5501.08,-802.688,-2056.45,-2641.94,3
335,-7046.57,1693.73,-8788.06,47.7612,2
80,-9625,-7156.25,0,-2468.75,3
238,-4183.19,-2202.1,13.4454,16.8067,1
118,-726.271,-110.169,-616.102,0,1
169,5331.36,3228.4,0,2102.96,2
110,-5593.64,36.3636,-3477.27,-2152.73,4
48,1260.42,2137.5,-877.083,0,3
194,8094.85,4098.45,952.577,3043.81,2
402,-13023.4,-1749,-3602.49,-4449,4
95,-3387.37,84.2105,-8.42105,-3463.16,2
