@relation Review_sentiment


@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
252,17531,17515.1,0,15.873,5
155,22678.1,19285.2,0,3392.9,4
98,-2730.61,-2730.61,0,0,1
21,37885.7,24442.9,13442.9,0,5
49,14836.7,14755.1,0,81.6327,4
349,-4012.03,1672.78,-5671.06,-13.7536,1
25,-36824,-36824,0,0,2
45,12724.4,12635.6,0,88.8889,5
29,2024.14,2024.14,0,0,1
23,31078.3,26669.6,173.913,4234.78,5
27,36992.6,18059.3,10455.6,8477.78,5
26,-11269.2,-11269.2,0,0,2
37,16940.5,16940.5,0,0,5
68,2608.82,7210.29,0,-4601.47,5
30,8700,8700,0,0,5
344,6882.85,10948,-2467.44,-206.105,5
24,1891.67,1891.67,0,0,5
120,8888.33,8821.67,33.3333,33.3333,5
23,25926.1,16156.5,9769.57,0,5
25,30744,30744,0,0,5
35,10594.3,10480,114.286,0,4
73,1354.79,1300,0,54.7945,5
107,-9347.66,-44.8598,-9783.18,480.374,3
840,2272.62,2042.02,-301.071,526.905,5
111,11629.7,11593.7,36.036,0,5
498,7721.08,7319.68,705.622,-312.249,5
29,37513.8,37513.8,0,0,5
75,149.333,160,53.3333,0,1
67,3047.76,8697.01,-5768.66,119.403,5
41,9063.41,9063.41,0,0,5
105,8095.24,8102.86,38.0952,-45.7143,5
783,3920.43,5212.01,-1104.21,353.001,5
24,25862.5,4958.33,20904.2,0,5
266,2491.35,5675.94,311.654,-1696.62,5
29,-10017.2,-10017.2,0,0,4
52,-10953.8,-1917.31,-9113.46,76.9231,1
253,-3769.57,-2549.8,-1283,63.2411,4
1775,3583.04,4342.87,-877.577,-117.465,5
35,13622.9,10668.6,114.286,2840,4
25,15880,15720,0,160,5
36,-8419.44,-8641.67,0,222.222,1
175,7638.86,11562.3,-3992,68.5714,3
88,3867.05,3830.68,-9.09091,45.4545,4
554,655.596,3169.68,-1650,-871.3,5
112,23357.1,11010.7,71.4286,12275,5
43,39672.1,39486,93.0233,93.0233,5
1204,11356.1,10804.7,-605.814,211.545,5
326,72.6994,5544.17,-2296.93,-1706.13,5
35,48260,42202.9,114.286,5942.86,5
118,9171.19,6400,-3982.2,2184.75,4
48,-4487.5,11616.7,-16104.2,0,3
21,34085.7,33895.2,0,190.476,4
48,5170.83,5187.5,-16.6667,0,5
113,23401.8,22592.9,0,808.85,5
229,9324.89,8232.75,34.9345,1057.21,5
925,-1316.11,658.27,-2617.51,638.811,3
25,4100,4100,0,0,5
30,32256.7,32256.7,0,0,5
63,35412.7,30355.6,0,5057.14,5
20,200,200,0,0,5
133,8018.05,5968.42,87.218,1962.41,5
24,17816.7,17816.7,0,0,5
18,21088.9,20866.7,222.222,0,5
21,24314.3,24123.8,0,190.476,5
49,-4828.57,4859.18,81.6327,0,1
353,4339.38,5817.56,11.3314,1222.66,4
21,29033.3,29033.3,0,0,5
182,5776.92,7856.59,-2123.63,43.956,5
109,368.807,-1977.98,110.092,2236.7,5
22,43281.8,43281.8,0,0,5
30,29940,29940,0,0,5
35,2168.57,2168.57,0,0,5
45,0,0,0,0,1
26,22926.9,22926.9,0,0,5
55,18225.5,18225.5,0,0,5
26,-6865.38,-6865.38,0,0,5
20,0,0,0,0,5
647,4278.05,5738.02,-1210.82,-247.913,4
73,29595.9,25176.7,4364.38,54.7945,5
97,7975.26,7892.78,41.2371,41.2371,5
92,-1516.3,86.9565,-4157.61,2554.35,3
64,13665.6,13603.1,0,0,5
36,6716.67,6716.67,0,0,1
24,35937.5,35937.5,0,0,4
61,0,0,0,0,4
37,14524.3,12340.5,0,0,5
41,11914.6,11914.6,0,0,5
143,-6786.01,-2107.69,-2618.88,-2059.44,2
