@relation Review_sentiment


@attribute adjective_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.1717000000000004,1
0.004,1
0.16860000000000008,2
0.48579999999999995,1
-0.2314,2
0.30489999999999995,4
0.9566,4
1.1169,4
1.1977,5
-0.6621,3
-0.23199999999999998,3
-0.4094,3
2.6527999999999996,5
0.012,5
1.1284,4
0.3756,2
0.48239999999999994,3
0,1
-0.33799999999999997,2
-0.3169000000000001,1
-0.5351,4
0.3862,3
0.9441999999999999,2
-0.06790000000000004,3
2.6050000000000004,5
2.7734000000000005,2
0.7988,2
-0.8279,1
0.3197,3
0.4618999999999999,3
-0.5845,2
-1.1166,2
0.7597999999999999,4
-0.7099,2
1.8383999999999998,4
-0.36959999999999993,3
-0.7406,1
2.2462999999999997,5
0,5
0.6107,1
-0.7356,3
0.6702,4
1.4252,4
0.48210000000000003,5
0.3756,5
1.1597,1
-0.5751,1
1.2316,5
0.393,4
2.9172999999999996,5
1.6715,4
0.1099,5
-1.0434000000000003,4
0.019699999999999995,1
0.004,1
-0.2047,3
-0.3066,1
1.3744999999999998,4
1.1216,4
1.2229,5
-0.3447,2
0.3797,4
0.9937,5
-0.6619,1
0.8768,3
0.8876999999999999,3
-0.0167,3
0.12490000000000001,4
0.9174000000000002,2
0.3802000000000001,1
-0.378,3
0.0033000000000009133,2
-1.0480999999999998,2
0.5052,1
0.3226,5
1.7702,3
-1.8108,3
0.6593,5
0.004,5
1.1604,2
1.8383999999999998,4
-0.05319999999999997,2
0.2458,3
0.0161,5
-0.5312,1
-0.065,2
-1.1193,3
0.5891,5
1.1080999999999999,5
1.2125,4
-0.3129,1
0.1722,1
0.2579,2
-0.34560000000000013,3
0.16799999999999998,4
-0.8021,2
0.3636999999999999,2
0.5766,1
0.008,4
0.7752,5
0,1
0,4
0.1008,5
0,1
0,1
0.8271999999999999,3
2.1224,2
-0.493,3
1.1842,5
0.5195,5
-0.6688000000000001,2
1.3517,5
0.6022,5
-0.5707,1
0.8808,4
1.624,3
0.393,1
-0.4964999999999998,2
0.004,1
0.0946,3
0.8434,3
-0.7562999999999999,4
0.10109999999999997,1
-0.2675,4
4.7867,2
1.3436,5
0.34380000000000005,3
0.7951000000000001,2
2.6723,3
2.5930000000000004,4
0.3845,2
4.0783,3
1.7728,5
2.3825,4
-0.39499999999999996,1
1.7144000000000001,5
-2.6210000000000004,4
1.1166,4
0.5828,5
-1.4638,4
0.004,4
-0.0422,3
-1.3027,1
0.5012,2
0.694,1
0.8886999999999999,3
-0.24490000000000003,2
0,2
1.0715999999999999,2
-0.0007999999999999995,5
-1.1397000000000002,2
0.9628,4
0.3557,1
0.8265,5
0.6136,2
0.24690000000000004,3
1.1647999999999998,3
1.3794,5
1.2418,4
0.7536999999999998,4
0,1
-0.35380000000000006,3
1.9772999999999998,5
2.7504,5
0.9881,5
0.36040000000000005,4
0.3756,1
-0.0167,3
0.5052,3
1.5743,4
0.695,5
-0.9206,2
1.3290999999999997,4
-0.2715,1
1.2584,4
0.4938,2
0.3412,1
-0.7706,2
0.7143,3
-0.14589999999999997,3
2.0531,5
-1.1935,1
-1.2995999999999999,1
2.2013000000000003,3
1.3375000000000001,4
2.8836,1
0.004,2
0.3756,5
1.2609000000000004,2
1.7213000000000003,5
1.725,4
1.5896,3
1.5407999999999997,2
0.19689999999999996,3
0.524,2
0.47959999999999997,4
0,1
2.4999000000000002,2
0.7538,1
0.7118,5
4.3337,4
-0.6982999999999999,3
0.0081,4
0.1099,3
2.4092,3
4.433,4
0.6051,4
1.209,5
0.3716,1
-0.0048,2
-0.635,3
0,2
0.8333999999999999,5
0.5831,3
4.2468,5
2.5806,3
0.38649999999999995,2
-0.5499,1
1.9654999999999998,5
0.04700000000000004,1
0.397,2
1.3653,4
-0.15599999999999997,3
0,1
0.7951000000000001,2
0,1
0,4
4.054399999999999,5
0.3587,3
0.5172,5
-1.1946999999999999,1
-0.01719999999999977,5
1.1246,4
0.41459999999999997,5
0.03009999999999997,1
-0.7356,3
0.9689000000000002,2
0.5835999999999999,4
-0.4482999999999999,2
0.027400000000000035,1
-0.5549999999999999,2
0.8569,3
0.008,5
-0.6262999999999999,4
1.5686,2
1.0733000000000001,2
1.0098999999999998,5
0,1
0.36679999999999996,1
0.2177,4
-0.0007999999999999995,5
0,5
-0.20019999999999993,4
0.29680000000000006,2
1.3262999999999998,4
1.1095000000000002,4
2.2315,5
0.2245,3
0.8581,1
-0.5287999999999999,1
0.3756,5
0.1292,2
-0.5813,4
0.2408,3
1.9709000000000003,3
1.2737999999999998,3
0.6053,4
0.2815000000000001,1
