@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,1
-0.3825,1
-0.7717999999999999,2
0.18539999999999984,1
-0.4289,2
0.30889999999999995,4
0.3112,4
1.5493000000000001,4
1.8504000000000003,5
-0.6669,3
-0.19110000000000005,3
-0.17359999999999998,3
3.7658000000000005,5
-0.0363,5
1.1188,4
0.6334,2
0.003699999999999981,3
-0.0048,1
-0.8167,2
-1.1781000000000001,1
-0.5251000000000001,4
-0.09250000000000003,3
0.7434000000000001,2
-0.06390000000000004,3
2.0492999999999997,5
3.082900000000001,2
0.27470000000000006,2
-1.1549,1
0.5896000000000001,3
-0.6416000000000001,3
-0.8934,2
-1.1126,2
0.2850999999999999,4
-0.7099,2
2.788700000000001,4
-0.3655999999999999,3
-1.5144,1
2.6988,5
0.0711,5
0.6227,1
-0.407,3
0.21430000000000002,4
1.4243999999999999,4
0.43520000000000003,5
0.3756,5
0.31829999999999997,1
-1.5593,1
1.2436,5
0.393,4
1.7844000000000004,5
1.7523,4
0.1099,5
-2.0342000000000002,4
0.264,1
0.004,1
-0.2055,3
-0.6418999999999999,1
0.33159999999999995,4
-4.4254999999999995,4
1.2229,5
-0.34950000000000003,2
0.3797,4
0.9977,5
-1.2212000000000003,1
0.8768,3
0.8916999999999999,3
-0.0167,3
0.12410000000000002,4
-0.4530000000000001,2
0.7093000000000002,1
-0.374,3
-6.722200000000001,2
-1.3790999999999998,2
0.5052,1
0.3226,5
2.1431,3
-4.993199999999999,3
0.6593,5
0.004,5
-0.037200000000000066,2
2.788700000000001,4
-0.6854,2
-0.08320000000000002,3
0.0161,5
-0.536,1
-0.4515,2
-0.9052,3
0.9077,5
1.1120999999999999,5
1.0385,4
-0.3129,1
-0.1327,1
0.3593,2
-1.9413999999999993,3
-0.21050000000000008,4
-2.2217000000000002,2
-0.22419999999999993,2
0.5766,1
0.09680000000000001,4
0.7792,5
-0.06920000000000004,1
0,4
0.33330000000000004,5
-0.5,1
-0.33580000000000004,1
-1.6838,3
2.2186,2
-0.493,3
1.1842,5
0.5195,5
-0.9854,2
1.3517,5
0.6022,5
-0.8839000000000001,1
1.3564,4
1.6584999999999996,3
-0.0817,1
-1.1045999999999996,2
0.008,1
0.0946,3
0.36609999999999965,3
-1.2244999999999997,4
-0.37360000000000004,1
-0.2675,4
1.7352,2
1.3436,5
-0.9502999999999999,3
1.5704,2
2.184,3
2.2105,4
-1.7204,2
4.4822,3
1.3586,5
2.3809,4
-0.44139999999999996,1
1.7184000000000001,5
-2.9127,4
1.5957999999999999,4
0.5828,5
-1.8785,4
0.004,4
-0.0422,3
-1.5377999999999998,1
0.49639999999999995,2
-1.5989,1
1.1505,3
0.0028999999999999816,2
0,2
1.2962,2
0.3458,5
-1.3973000000000002,2
0.9628,4
0.2741,1
1.0175,5
-1.0274999999999999,2
-0.6607999999999998,3
1.0037,3
1.3794,5
1.2107999999999999,4
1.5198,4
-0.3353,1
-0.8293000000000001,3
2.1682999999999995,5
2.1466,5
0.9961,5
-0.10309999999999997,4
0.8194999999999999,1
-0.0167,3
-0.02729999999999999,3
1.3391999999999997,4
0.22029999999999997,5
-0.9206,2
1.0821999999999998,4
-0.6514,1
1.2584,4
0.4962,2
0.5609999999999999,1
-0.7706,2
0.38530000000000003,3
-0.8230999999999999,3
2.5015,5
-1.6682,1
-1.3373000000000002,1
0.6402000000000001,3
1.3415000000000001,4
0.022899999999999865,1
0.08310000000000001,2
0.3756,5
-2.0852000000000004,2
1.8250000000000002,5
0.7138000000000001,4
1.7806,3
-0.04820000000000002,2
0.19689999999999996,3
-1.2579,2
0.47479999999999994,4
-1.073,1
1.5444000000000004,2
0.757,1
1.0568,5
3.3169000000000004,4
-1.6013,3
0.0081,4
-1.4819,3
1.8375999999999995,3
4.971299999999999,4
1.4534,4
1.4162,5
0.3716,1
-0.39130000000000004,2
-0.6802999999999999,3
0,2
0.4589,5
0.5783,3
4.4358,5
2.2516,3
0.39849999999999997,2
-3.3159,1
2.0099,5
0.04620000000000002,1
-0.48279999999999995,2
1.3693,4
-0.2869,3
0.008,1
1.5704,2
0,1
-0.3161,4
4.386799999999999,5
0.3587,3
0.5172,5
-1.1954999999999998,1
-1.7649000000000001,5
1.1286,4
1.6523999999999999,5
-0.44000000000000017,1
-0.407,3
-2.365799999999999,2
0.8106,4
-0.2321999999999999,2
-0.4401,1
-0.5509999999999999,2
0.2216,3
-0.038099999999999995,5
-1.105,4
1.3235,2
0.3228000000000002,2
0.20619999999999994,5
0.004,1
0.16929999999999995,1
0.2177,4
-0.0007999999999999995,5
0.004,5
-0.1510999999999999,4
0.23949999999999988,2
-0.7574000000000003,4
0.24949999999999994,4
2.2435,5
-0.25420000000000004,3
0.5472999999999999,1
-2.0446,1
0.5857,5
-0.679,2
-2.0479,4
0.2408,3
0.9373999999999999,3
0.7942999999999998,3
0.17749999999999994,4
-0.09429999999999986,1
0.2265,2
-1.0503000000000002,1
-0.2042000000000004,1
3.8915999999999995,4
0.004,1
0.6650000000000001,3
0.004,1
3.082900000000001,2
4.956899999999999,4
0,4
-0.1795,5
0.007200000000000001,2
2.1338,5
0.8553,5
-0.26329999999999987,3
0.393,5
-1.4918999999999998,1
4.1105,5
-0.8562999999999998,2
0.3594,2
-0.4787,2
-0.2973,2
0.3962,3
-0.46430000000000005,3
2.4588000000000005,5
-0.7735,1
-1.1332,4
0.3694,3
-0.8303,2
0.7778,4
0.03420000000000001,1
0.48889999999999995,3
