@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,510,1
-0.3825,33,1
-0.7717999999999999,148,2
0.18539999999999984,152,1
-0.4289,57,2
0.30889999999999995,36,4
0.3112,70,4
1.5493000000000001,28,4
1.8504000000000003,92,5
-0.6669,48,3
-0.19110000000000005,65,3
-0.17359999999999998,116,3
3.7658000000000005,358,5
-0.0363,82,5
1.1188,55,4
0.6334,30,2
0.003699999999999981,75,3
-0.0048,43,1
-0.8167,34,2
-1.1781000000000001,96,1
-0.5251000000000001,54,4
-0.09250000000000003,28,3
0.7434000000000001,184,2
-0.06390000000000004,90,3
2.0492999999999997,517,5
3.082900000000001,507,2
0.27470000000000006,237,2
-1.1549,113,1
0.5896000000000001,205,3
-0.6416000000000001,432,3
-0.8934,46,2
-1.1126,25,2
0.2850999999999999,58,4
-0.7099,125,2
2.788700000000001,301,4
-0.3655999999999999,79,3
-1.5144,289,1
2.6988,110,5
0.0711,28,5
0.6227,237,1
-0.407,83,3
0.21430000000000002,138,4
1.4243999999999999,146,4
0.43520000000000003,35,5
0.3756,44,5
0.31829999999999997,491,1
-1.5593,31,1
1.2436,168,5
0.393,29,4
1.7844000000000004,477,5
1.7523,115,4
0.1099,33,5
-2.0342000000000002,366,4
0.264,110,1
0.004,40,1
-0.2055,84,3
-0.6418999999999999,39,1
0.33159999999999995,247,4
-4.4254999999999995,1003,4
1.2229,27,5
-0.34950000000000003,29,2
0.3797,59,4
0.9977,40,5
-1.2212000000000003,110,1
0.8768,48,3
0.8916999999999999,64,3
-0.0167,30,3
0.12410000000000002,113,4
-0.4530000000000001,527,2
0.7093000000000002,219,1
-0.374,24,3
-6.722200000000001,1520,2
-1.3790999999999998,32,2
0.5052,30,1
0.3226,30,5
2.1431,203,3
-4.993199999999999,892,3
0.6593,35,5
0.004,20,5
-0.037200000000000066,246,2
2.788700000000001,301,4
-0.6854,126,2
-0.08320000000000002,167,3
0.0161,23,5
-0.536,94,1
-0.4515,57,2
-0.9052,23,3
0.9077,25,5
1.1120999999999999,22,5
1.0385,137,4
-0.3129,31,1
-0.1327,77,1
0.3593,191,2
-1.9413999999999993,319,3
-0.21050000000000008,76,4
-2.2217000000000002,344,2
-0.22419999999999993,234,2
0.5766,26,1
0.09680000000000001,92,4
0.7792,37,5
-0.06920000000000004,23,1
0,24,4
0.33330000000000004,27,5
-0.5,31,1
-0.33580000000000004,66,1
-1.6838,343,3
2.2186,125,2
-0.493,63,3
1.1842,43,5
0.5195,23,5
-0.9854,234,2
1.3517,56,5
