@relation Review_sentiment


@attribute overall_sentiment numeric
@attribute token_number numeric
@attribute noun_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
1.3745000000000003,510,0.002,1
-0.3825,33,-0.3865,1
-0.7717999999999999,148,0.008,2
0.18539999999999984,152,-0.3124,1
-0.4289,57,0,2
0.30889999999999995,36,0.004,4
0.3112,70,-0.3865,4
1.5493000000000001,28,0,4
1.8504000000000003,92,0.008,5
-0.6669,48,-0.0048,3
-0.19110000000000005,65,0,3
-0.17359999999999998,116,0,3
3.7658000000000005,358,0.0032000000000000006,5
-0.0363,82,-0.0483,5
1.1188,55,-0.0048,4
0.6334,30,0,2
0.003699999999999981,75,0,3
-0.0048,43,0,1
-0.8167,34,0,2
-1.1781000000000001,96,-0.3825,1
-0.5251000000000001,54,0.0108,4
-0.09250000000000003,28,0,3
0.7434000000000001,184,-0.2008,2
-0.06390000000000004,90,0,3
2.0492999999999997,517,-0.3521,5
3.082900000000001,507,0.6481,2
0.27470000000000006,237,-0.5281,2
-1.1549,113,0.004,1
0.5896000000000001,205,0.6544000000000001,3
-0.6416000000000001,432,-0.1003,3
-0.8934,46,0.004,2
-1.1126,25,0,2
0.2850999999999999,58,0.004,4
-0.7099,125,0,2
2.788700000000001,301,0.6954,4
-0.3655999999999999,79,0,3
-1.5144,289,-0.773,1
2.6988,110,0.2207,5
0.0711,28,0.0711,5
0.6227,237,0.012,1
-0.407,83,0.3286,3
0.21430000000000002,138,0,4
1.4243999999999999,146,0,4
0.43520000000000003,35,-0.0469,5
0.3756,44,0,5
0.31829999999999997,491,-0.1374,1
-1.5593,31,-0.0534,1
1.2436,168,0.008,5
0.393,29,0,4
1.7844000000000004,477,-0.5980000000000001,5
1.7523,115,0,4
0.1099,33,0,5
-2.0342000000000002,366,0,4
0.264,110,0.4832,1
0.004,40,0,1
-0.2055,84,-0.0048,3
-0.6418999999999999,39,0,1
0.33159999999999995,247,-0.4242,4
-4.4254999999999995,1003,-4.6745,4
1.2229,27,0,5
-0.34950000000000003,29,-0.0048,2
0.3797,59,0,4
0.9977,40,0.004,5
-1.2212000000000003,110,-0.769,1
0.8768,48,0,3
0.8916999999999999,64,0,3
-0.0167,30,0,3
0.12410000000000002,113,0.004,4
-0.4530000000000001,527,-1.3462,2
0.7093000000000002,219,0.004,1
-0.374,24,0,3
-6.722200000000001,1520,-4.484800000000001,2
-1.3790999999999998,32,0,2
0.5052,30,0,1
0.3226,30,0,5
2.1431,203,0,3
-4.993199999999999,892,-1.6176000000000001,3
0.6593,35,0,5
0.004,20,0,5
-0.037200000000000066,246,-0.8524,2
2.788700000000001,301,0.6954,4
-0.6854,126,-0.6322,2
-0.08320000000000002,167,0,3
0.0161,23,0,5
-0.536,94,0,1
-0.4515,57,-0.3865,2
-0.9052,23,0,3
0.9077,25,0,5
1.1120999999999999,22,0.004,5
1.0385,137,0,4
-0.3129,31,0,1
-0.1327,77,0.004,1
0.3593,191,0,2
-1.9413999999999993,319,0.0711,3
-0.21050000000000008,76,-0.3825,4
-2.2217000000000002,344,-0.3073,2
-0.22419999999999993,234,0,2
0.5766,26,0,1
0.09680000000000001,92,0.004,4
0.7792,37,0,5
-0.06920000000000004,23,0,1
0,24,0,4
0.33330000000000004,27,0,5
-0.5,31,-0.5,1
-0.33580000000000004,66,-0.0048,1
-1.6838,343,-0.8074,3
2.2186,125,0,2
-0.493,63,0,3
1.1842,43,0,5
0.5195,23,0,5
-0.9854,234,-0.3166,2
1.3517,56,0,5
0.6022,23,0,5
-0.8839000000000001,155,-0.0534,1
1.3564,49,0,4
1.6584999999999996,142,0,3
-0.0817,22,0,1
-1.1045999999999996,535,-0.46490000000000004,2
0.008,40,0,1
0.0946,47,0,3
0.36609999999999965,371,-1.1417000000000002,3
-1.2244999999999997,446,-0.7544,4
-0.37360000000000004,122,0.004,1
-0.2675,43,0,4
1.7352,910,-3.4316999999999998,2
1.3436,22,0,5
-0.9502999999999999,205,-1.3021,3
1.5704,194,0.1848,2
2.184,137,-0.0096,3
2.2105,182,-0.3865,4
-1.7204,385,-1.1595,2
4.4822,443,-0.339,3
1.3586,177,0,5
2.3809,167,0.004,4
-0.44139999999999996,78,-0.0464,1
1.7184000000000001,29,0,5
-2.9127,160,-0.3825,4
1.5957999999999999,30,0.4792,4
0.5828,25,0,5
-1.8785,430,-0.1683,4
0.004,24,0,4
-0.0422,26,0,3
-1.5377999999999998,216,0.008,1
0.49639999999999995,40,0,2
-1.5989,250,-1.8338,1
1.1505,89,0.004,3
0.0028999999999999816,65,0,2
0,120,0,2
1.2962,181,-0.0048,2
0.3458,59,0.2469,5
-1.3973000000000002,210,-0.3785,2
0.9628,39,0,4
0.2741,92,-0.514,1
1.0175,61,0,5
-1.0274999999999999,210,-1.5691000000000002,2
-0.6607999999999998,171,-0.9157,3
1.0037,297,-0.39610000000000006,3
1.3794,20,0,5
1.2107999999999999,143,0,4
1.5198,216,-0.3201,4
-0.3353,79,0,1
-0.8293000000000001,171,-0.0007999999999999995,3
2.1682999999999995,71,0,5
2.1466,244,-0.3161,5
0.9961,100,0,5
-0.10309999999999997,175,0.007200000000000001,4
0.8194999999999999,35,0,1
-0.0167,30,0,3
-0.02729999999999999,24,0,3
1.3391999999999997,257,-0.9266,4
0.22029999999999997,54,0,5
-0.9206,50,0,2
1.0821999999999998,144,-0.2549,4
-0.6514,103,-0.3839,1
1.2584,57,0,4
0.4962,230,-0.0096,2
0.5609999999999999,166,-0.2048,1
-0.7706,50,0,2
0.38530000000000003,43,0,3
-0.8230999999999999,149,-0.3865,3
2.5015,207,0.008,5
-1.6682,51,0.004,1
-1.3373000000000002,126,0.6796,1
0.6402000000000001,240,-0.2631,3
1.3415000000000001,30,0.004,4
0.022899999999999865,648,-1.3840000000000001,1
0.08310000000000001,48,0.0751,2
0.3756,35,0,5
-2.0852000000000004,815,-1.6569,2
1.8250000000000002,44,0.004,5
0.7138000000000001,120,0,4
1.7806,116,0,3
-0.04820000000000002,245,-1.8111,2
0.19689999999999996,33,0,3
-1.2579,414,-0.7981,2
0.47479999999999994,115,0,4
-1.073,56,0,1
1.5444000000000004,448,-2.3245999999999998,2
0.757,115,0.004,1
1.0568,36,0,5
3.3169000000000004,248,0.004,4
-1.6013,269,-0.773,3
0.0081,25,0,4
-1.4819,125,-0.3865,3
1.8375999999999995,641,-0.9004000000000001,3
4.971299999999999,368,0,4
1.4534,127,0.5009,4
1.4162,138,-0.0048,5
0.3716,40,0,1
-0.39130000000000004,58,-0.3865,2
-0.6802999999999999,206,0,3
0,21,0,2
0.4589,180,-0.3785,5
0.5783,23,0,3
4.4358,438,0.002400000000000001,5
2.2516,176,0.004,3
0.39849999999999997,139,0.004,2
-3.3159,404,-0.4699,1
2.0099,268,0.044399999999999995,5
0.04620000000000002,38,-0.0048,1
-0.48279999999999995,82,-0.34249999999999997,2
1.3693,28,0.004,4
-0.2869,140,0.3526,3
0.008,74,0.008,1
1.5704,194,0.1848,2
0,37,0,1
-0.3161,46,-0.3201,4
4.386799999999999,166,0,5
0.3587,27,0,3
0.5172,35,0,5
-1.1954999999999998,105,0.004,1
-1.7649000000000001,386,0.005600000000000002,5
1.1286,76,0.004,4
1.6523999999999999,75,0.7246,5
-0.44000000000000017,332,0.3512,1
-0.407,83,0.3286,3
-2.365799999999999,564,-2.5269,2
0.8106,319,0.008,4
-0.2321999999999999,194,0.004,2
-0.4401,154,0.012,1
-0.5509999999999999,79,0,2
0.2216,370,-0.3377,3
-0.038099999999999995,28,-0.0461,5
-1.105,28,0,4
1.3235,130,-0.3465,2
0.3228000000000002,177,-0.7545000000000001,2
0.20619999999999994,143,0.008,5
0.004,34,0,1
0.16929999999999995,30,0,1
0.2177,20,0,4
-0.0007999999999999995,25,0,5
0.004,31,0,5
-0.1510999999999999,167,-0.38730000000000003,4
0.23949999999999988,119,0.32,2
-0.7574000000000003,510,-0.1257,4
0.24949999999999994,221,0,4
2.2435,309,0.004,5
-0.25420000000000004,24,0,3
0.5472999999999999,155,-0.49870000000000003,1
-2.0446,61,-0.3739,1
0.5857,23,0,5
-0.679,181,-0.841,2
-2.0479,270,-0.7247,4
0.2408,26,0,3
0.9373999999999999,165,-1.0335,3
0.7942999999999998,365,-0.0007999999999999995,3
0.17749999999999994,92,0,4
-0.09429999999999986,93,0.10290000000000002,1
0.2265,42,0,2
-1.0503000000000002,109,-0.6364000000000001,1
-0.2042000000000004,427,-1.9587,1
3.8915999999999995,714,-1.5538,4
0.004,29,0.004,1
0.6650000000000001,133,-0.3821,3
0.004,47,0,1
3.082900000000001,507,0.6481,2
4.956899999999999,1218,-1.1121,4
0,80,0,4
-0.1795,144,-2.5264,5
0.007200000000000001,54,-0.0048,2
2.1338,71,0,5
0.8553,59,0,5
-0.26329999999999987,441,-0.0007999999999999995,3
0.393,24,0,5
-1.4918999999999998,155,-1.0186,1
4.1105,347,-0.033899999999999986,5
-0.8562999999999998,144,-0.4699,2
0.3594,23,0,2
-0.4787,35,0,2
-0.2973,71,0,2
0.3962,56,0.004,3
-0.46430000000000005,69,0,3
2.4588000000000005,181,0.004,5
-0.7735,72,-0.3825,1
-1.1332,37,0.2823,4
0.3694,38,0,3
-0.8303,42,0.004,2
0.7778,71,0,4
0.03420000000000001,116,-0.2048,1
0.48889999999999995,121,-0.3865,3
-0.6335000000000002,557,-2.0696,3
1.3232000000000002,73,0,3
1.8795,1515,-0.9802,4
-0.9859,52,0,2
0.2851,23,0.004,3
0.3899,67,0,1
0.008,20,0,1
7.177499999999994,676,-0.8078000000000001,4
0.746,77,0,2
-1.2119999999999997,161,0.012,2
-0.6688000000000001,121,-0.4833,1
4.330999999999999,342,0,5
0.703,32,0,4
-0.5552000000000001,138,0,3
1.1897000000000002,80,0,2
0.3716,20,0,3
0.3774,18,0.008,5
0.4282,80,-0.0386,5
1.6916,125,-0.3865,3
-1.1262,62,-1.0624,1
1.2700999999999998,67,0.0032000000000000006,4
0.0012000000000000274,80,0,2
0,19,0,4
-3.0219999999999976,1066,-0.473,2
1.4770999999999999,21,0.004,5
0.07740000000000001,40,0,3
4.9472999999999985,265,0.9584,5
0.8612999999999998,155,0,2
-1.1654000000000004,259,-0.8114,3
-1.0234,239,-0.6632,2
0.36439999999999995,44,0,4
0.09770000000000001,22,0,4
0.16799999999999998,53,0,5
-0.4906,36,-0.4739,1
0.02,42,0.008,4
0.18190000000000006,64,0.004,5
0.0711,28,0.0711,1
-0.22449999999999992,100,-0.34249999999999997,3
0.16080000000000003,55,-0.3825,1
-0.3399,153,0.2452,1
0.6650999999999999,216,-0.34930000000000005,3
0.42469999999999997,53,0,5
0.3412,20,0,2
-0.3356,61,-0.773,5
-0.07520000000000004,108,0,1
-0.41390000000000016,270,-0.9053,4
-0.5194000000000001,29,-0.5027,2
0.27560000000000007,209,-0.1936,5
-0.8115000000000001,155,0,4
-4.644399999999999,474,-0.8838999999999999,1
1.7655999999999998,184,0,3
-2.1369000000000002,139,-1.6622000000000001,3
-0.6418999999999999,39,0,1
-1.0174,129,-1.5762000000000003,2
-1.204,407,-1.6941,1
0.004,31,0,3
0.4052,74,0,3
0.03360000000000001,54,0,4
-0.9115000000000001,135,-0.9686,1
0.0012000000000000274,80,0,2
-0.9206,50,0,2
0.6221,29,0,5
-1.1783,142,-1.0,1
0,32,0,5
2.639800000000001,906,-0.49550000000000005,3
0.5146000000000001,47,0,2
0.035499999999999976,81,0.2216,4
-3.0638,354,-1.5236,5
-1.2011999999999998,66,-0.6632,1
2.9025999999999996,77,0.2823,5
0.4132,24,0,4
0,31,0,1
-1.0415,74,-0.3865,1
0.3716,25,0,4
2.260800000000001,665,0.4922,4
0.3042000000000001,144,0.7286,3
3.3987,175,-0.023300000000000008,4
-0.8359,131,-0.3865,2
0,28,0,1
1.2982,34,0,5
-0.9386000000000001,78,-0.6752,2
0.7315,93,0,5
-0.7331,68,0.0707,2
0.5001000000000002,115,-0.045599999999999974,1
0.8573,25,0,5
0.7432,60,0,4
-0.5174,140,0,4
-0.2529,34,0.008,1
1.3615,33,0,5
-1.327,215,0.1091,3
1.6940999999999997,341,0,4
0.5435,149,-0.1976,5
0.5287999999999999,71,-0.7534000000000001,5
0.9073000000000002,857,-0.668,2
0.47740000000000005,239,0,3
-1.2320000000000002,225,-0.5187,2
0.5164000000000001,107,-0.3865,4
