@relation Review_sentiment


@attribute token_number numeric
@attribute stars {1,2,3,4,5}
@data
510,1
33,1
148,2
152,1
57,2
36,4
70,4
28,4
92,5
48,3
65,3
116,3
358,5
82,5
55,4
30,2
75,3
43,1
34,2
96,1
54,4
28,3
184,2
90,3
517,5
507,2
237,2
113,1
205,3
432,3
46,2
25,2
58,4
125,2
301,4
79,3
289,1
110,5
28,5
237,1
83,3
138,4
146,4
35,5
44,5
491,1
31,1
168,5
29,4
477,5
115,4
33,5
366,4
110,1
40,1
84,3
39,1
247,4
1003,4
27,5
29,2
59,4
40,5
110,1
48,3
64,3
30,3
113,4
527,2
219,1
24,3
1520,2
32,2
30,1
30,5
203,3
892,3
35,5
20,5
246,2
301,4
126,2
167,3
23,5
94,1
57,2
23,3
25,5
22,5
137,4
31,1
77,1
191,2
319,3
76,4
344,2
234,2
26,1
92,4
37,5
23,1
24,4
27,5
31,1
66,1
343,3
125,2
63,3
43,5
23,5
234,2
56,5
23,5
155,1
49,4
142,3
22,1
535,2
40,1
47,3
371,3
446,4
122,1
43,4
910,2
22,5
205,3
194,2
137,3
182,4
385,2
443,3
177,5
167,4
78,1
29,5
160,4
30,4
25,5
430,4
24,4
26,3
216,1
40,2
250,1
89,3
65,2
120,2
181,2
59,5
210,2
39,4
92,1
61,5
210,2
171,3
297,3
20,5
143,4
216,4
79,1
171,3
71,5
244,5
100,5
175,4
35,1
30,3
24,3
257,4
54,5
50,2
144,4
103,1
57,4
230,2
166,1
50,2
43,3
149,3
207,5
51,1
126,1
240,3
30,4
648,1
48,2
35,5
815,2
44,5
120,4
116,3
245,2
33,3
414,2
115,4
56,1
448,2
115,1
36,5
248,4
269,3
25,4
125,3
641,3
368,4
127,4
138,5
40,1
58,2
206,3
21,2
180,5
23,3
438,5
176,3
139,2
404,1
268,5
38,1
82,2
28,4
140,3
74,1
194,2
37,1
46,4
166,5
27,3
35,5
105,1
386,5
76,4
75,5
332,1
83,3
564,2
319,4
194,2
154,1
79,2
370,3
28,5
28,4
130,2
177,2
143,5
34,1
30,1
20,4
25,5
31,5
167,4
119,2
510,4
221,4
309,5
24,3
155,1
61,1
23,5
181,2
270,4
26,3
165,3
365,3
92,4
93,1
42,2
109,1
427,1
714,4
29,1
133,3
47,1
507,2
1218,4
80,4
144,5
54,2
71,5
59,5
441,3
24,5
155,1
347,5
144,2
23,2
35,2
71,2
56,3
69,3
181,5
72,1
37,4
38,3
42,2
71,4
116,1
121,3
557,3
73,3
1515,4
52,2
23,3
