@relation Review_sentiment


@attribute verb_sentiment numeric
@attribute stars {1,2,3,4,5}
@data
0.2056,1
0,1
-0.4697,2
0.012,1
-0.1975,2
0,4
0.2198,4
0.4324,4
0.6446999999999999,5
0,3
0.5196,3
0.2358,3
1.1098,5
0,5
0,4
0.2578,2
0,3
-0.0048,1
0,2
0,1
-0.0007999999999999995,4
0,3
0,2
0.004,3
-0.2036,5
-0.33860000000000007,2
0.004,2
-0.331,1
-0.38449999999999995,3
-0.19510000000000005,3
-0.3129,2
0.004,2
0,4
0,2
0.7384000000000001,4
0.004,3
-0.0007999999999999995,1
0.2318,5
0,5
0,1
0,3
-0.45589999999999997,4
0.004,4
0,5
0,5
-0.704,1
-0.4521,1
0.004,5
0,4
-0.5428999999999999,5
0,4
0,5
-0.9908000000000001,4
0.2398,1
0,1
0.004,3
-0.3353,1
-0.14,4
0.08479999999999999,4
0,5
0,2
0,4
0,5
0.2097,1
0,3
0.004,3
0,3
0,4
-0.024200000000000003,2
0.3251,1
0.004,3
-0.46559999999999996,2
-0.331,2
0,1
0,5
0.6621999999999999,3
-0.26920000000000005,3
0,5
0,5
-0.5362,2
0.7384000000000001,4
0,2
-0.329,3
0,5
-0.0048,1
0,2
0.2141,3
0.3186,5
0,5
-0.174,4
0,1
-0.3089,1
0.1014,2
-0.7095000000000001,3
0.004,4
-1.3390000000000002,2
-0.10920000000000002,2
0,1
0.004,4
0.004,5
-0.06920000000000004,1
0,4
0.2325,5
0,1
-0.331,1
0.216,3
0.09620000000000001,2
0,3
0,5
0,5
0,2
0,5
0,5
-0.2598,1
0.4756,4
0.4324,3
0.004,1
-0.0007999999999999995,2
0.004,1
0,3
0.6643999999999999,3
0.7649,4
0,1
0,4
0.018500000000000016,2
0,5
0.008,3
0.5905,2
0,3
0.004,4
0.012,2
0.7388999999999999,3
-0.4182,5
-0.0007999999999999995,4
0,1
0.004,5
0.0908,4
0,4
0,5
-0.2464,4
0,4
0,3
-0.24309999999999998,1
-0.0048,2
-0.45910000000000006,1
0.2578,3
0.2478,2
0,2
0.2294,2
0.0997,5
0.12090000000000001,2
0,4
0.4324,1
0,5
-0.07200000000000004,2
0.008,3
0.23500000000000001,3
0,5
-0.031,4
0.008,4
-0.3353,1
0.004,3
0,5
0,5
0.008,5
0.008,4
0.44389999999999996,1
0,3
-0.5325,3
0.6915,4
0.004,5
0,2
0.008,4
0.004,1
0,4
0.008,2
0.4294,1
0,2
-0.329,3
-0.29069999999999996,3
0.4404,5
0,1
-0.7173,1
-0.3406,3
0,4
-1.4671,1
0.004,2
0,5
-1.3313000000000001,2
0.0997,5
-0.5325,4
0.191,3
0.22210000000000002,2
0,3
-0.5051,2
-0.0048,4
-1.073,1
0.961,2
-0.0007999999999999995,1
0.345,5
-0.5373,4
0.34869999999999995,3
0,4
-1.2053,3
0.32880000000000004,3
0.004,4
0.3474,4
0.212,5
0,1
0,2
0.4294,3
0,2
0.004,5
-0.0048,3
0.1866,5
-0.333,3
0.004,2
-1.5296999999999998,1
0,5
0.004,1
-0.5373,2
0,4
-0.0048,3
0,1
0.5905,2
0,1
0.004,4
0.3324,5
0,3
0,5
-0.0048,1
-0.3252,5
0,4
0.4324,5
-0.3426,1
0,3
-1.1898,2
0.219,4
-0.327,2
0.004,1
0.004,2
-0.3057,3
0,5
0,4
0.10139999999999999,2
0.004,2
-0.333,5
0.004,1
-0.1975,1
0,4
0,5
0.004,5
0.4364,4
0.10139999999999999,2
-0.6672,4
0.0974,4
0.008,5
0,3
0.1879,1
-1.1419000000000001,1
0.2101,5
0.03280000000000001,2
0.21550000000000002,4
0,3
0,3
0,3
0.0509,4
0,1
0,2
-0.329,1
-0.019299999999999984,1
1.5894000000000001,4
0,1
0,3
0,1
-0.33860000000000007,2
-0.42050000000000004,4
0,4
0.2698,5
0.008,2
0.004,5
-0.0048,5
0.008,3
0,5
-0.327,1
0.4324,5
0.004,2
0.004,2
0,2
0,2
-0.0048,3
0.008,3
0.012,5
0,1
0,4
0,3
0,2
0,4
0.2358,1
0,3
0.2738,3
-0.3409,3
-2.2171999999999996,4
-0.2153,2
0,3
0.4324,1
0.004,1
0.9896,4
-0.33180000000000004,2
0.004,2
-0.1975,1
