@relation Review_sentiment

@attribute token_number numeric
@attribute normalized_overall_sentiment numeric
@attribute normalized_adjective_sentiment numeric
@attribute normalized_noun_sentiment numeric
@attribute normalized_verb_sentiment numeric
@attribute stars {1,2,3,4,5}

@data
510,2695.1,2297.45,3.92157,403.137,1
33,-11590.9,121.212,-11712.1,0,1
148,-5214.86,1139.19,54.0541,-3173.65,2
152,1219.74,3196.05,-2055.26,78.9474,1
57,-7524.56,-4059.65,0,-3464.91,2
36,8580.56,8469.44,111.111,0,4
70,4445.71,13665.7,-5521.43,3140,4
28,55332.1,39889.3,0,15442.9,4
92,20113,13018.5,86.9565,7007.61,5
48,-13893.8,-13793.8,-100,0,3
